candname,cf_score,congdist,party
"ZELDIN, LEE M",0.561833342,1,200
"BISHOP, TIMOTHY H",-1.022489019,1,100
"STALZER, FRANK J",-0.083425076,2,200
"ISRAEL, STEVE",-0.6703608520000001,2,100
"LONG, GRAHAM E",-0.906209974,3,100
"KING, PETER T",0.124493434,3,200
"MARTINS, JACK M",0.221190759,4,200
"MCCARTHY, CAROLYN",-1.03432612,4,100
"BERNEY, ELIZABETH",0.793642793,5,200
"ACKERMAN, GARY L",-0.621681284,5,100
"MEEKS, GREGORY WELDON",-0.5334728679999999,6,100
"CROWLEY, JOSEPH",-0.617831101,7,100
"NADLER, JERROLD L MR.",-0.785069967,8,100
"WEINER, ANTHONY D MR",-0.858728843,9,100
"TOWNS, EDOLPHUS",-0.602581932,10,100
"CLARKE, YVETTE",-0.88888864,11,100
"VELAZQUEZ, NYDIA M",-0.825106022,12,100
"STRANIERE, ROBERT A",0.218317302,13,200
"MCMAHON, MICHAEL E. MR.",-0.653570291,13,100
"MALONEY, CAROLYN B",-0.7038516090000001,14,100
"RANGEL, CHARLES B",-0.62045339,15,100
"SERRANO, JOSE E",-0.686175447,16,100
"ENGEL, ELIOT L",-0.520395406,17,100
"RUSSELL, JIM",2.721975717,18,200
"LOWEY, NITA M",-0.983789402,18,100
"LALOR, KIERAN MICHAEL",1.033529871,19,200
"HALL, JOHN JOSEPH",-1.365277593,19,100
"TREADWELL, SANDY",0.6164174339999999,20,200
"GILLIBRAND, KIRSTEN ELIZABETH MRS",-1.133176248,20,100
"BUHRMASTER, JAMES R",0.5615293060000001,21,200
"TONKO, PAUL DAVID",-0.7146695829999999,21,100
"PHILLIPS, GEORGE K",0.8327045790000001,22,200
"HINCHEY, MAURICE D",-0.992945538,22,100
"OOT, MICHAEL P",-1.097446462,23,100
"MCHUGH, JOHN MICHAEL",0.043162434000000006,23,200
"HANNA, RICHARD L",0.704331536,24,200
"ARCURI, MICHAEL ANGELO",-0.964038347,24,100
"SWEETLAND, DALE A",0.5707990070000001,25,200
"MAFFEI, DANIEL B MR.",-1.150317749,25,100
"KRYZAN, ALICE J",-1.187948297,26,100
"LEE, CHRISTOPHER J.",0.604278294,26,200
"HUMISTON, DANIEL J",0.835085027,27,200
"HIGGINS, BRIAN M",-0.594717508,27,100
"DONNELLY, JOHN E",-0.8063007640000001,28,200
"SLAUGHTER, LOUISE MCINTOSH",-1.029373179,28,100
"MASSA, ERIC J J",-1.2040391609999999,29,100
"KUHL, JOHN R JR",0.494678369,29,200
