,state,year,county_name,county,cousub,vtd08,vtdid,ward,ward2,ward3,ward4,ward5,ward6,ed,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ad,nopad_vtdid,g2006_USS_tv,g2006_USS_dv,g2006_USS_rv,g2006_USH_tv,g2006_USH_dv,g2006_USH_rv,g2006_GOV_tv,g2006_GOV_dv,g2006_GOV_rv,g2006_STS_tv,g2006_STS_dv,g2006_STS_rv,g2006_STH_tv,g2006_STH_dv,g2006_STH_rv,g2006_REG_tv,g2006_REG_dv,g2006_REG_rv
1,NY,2006,Albany,1,1000,1,360010001,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360011,217,129,19,217,135,18,217,130,19,217,133,0,217,132,0,412,255,28
2,NY,2006,Albany,1,1000,2,360010002,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360012,154,103,10,154,102,5,154,106,6,154,102,0,154,98,0,301,205,18
3,NY,2006,Albany,1,1000,3,360010003,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360013,25,15,4,25,14,1,25,20,1,25,17,0,25,18,1,44,38,2
4,NY,2006,Albany,1,1000,4,360010004,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360014,280,225,26,280,215,18,280,211,28,280,209,0,280,205,0,536,432,33
5,NY,2006,Albany,1,1000,5,360010005,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360015,212,169,16,212,169,12,212,166,14,212,167,0,212,167,0,417,341,18
6,NY,2006,Albany,1,1000,6,360010006,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360016,265,208,19,265,208,8,265,213,9,265,199,0,265,197,0,408,323,17
7,NY,2006,Albany,1,1000,7,360010007,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360017,260,203,27,260,203,20,260,203,26,260,207,0,260,203,0,388,311,25
8,NY,2006,Albany,1,1000,8,360010008,1,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360018,31,26,2,31,26,1,31,26,2,31,25,0,31,26,1,63,56,1
9,NY,2006,Albany,1,1000,9,360010009,1,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360019,310,242,38,310,246,24,310,245,36,310,243,0,310,246,0,581,453,41
10,NY,2006,Albany,1,1000,10,360010010,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600110,107,80,11,107,79,6,107,83,7,107,79,0,107,78,0,137,102,7
11,NY,2006,Albany,1,1000,11,360010011,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600111,74,59,4,74,54,3,74,54,5,74,58,0,74,53,1,163,139,4
