,Name,District,cfscore,Party
20701,"ZANZI, ITALO ANDRES",1,0.580236502,200
21800,"BISHOP, TIMOTHY H",1,-1.022489019,100
20700,"PRICE, JOSHUA CLINTON",2,2.337377382,200
21901,"ISRAEL, STEVE",2,-0.670360852,100
20699,"MEJIAS, DAVID L",3,-0.857638155,100
21799,"KING, PETER T",3,0.124493434,200
20698,"BLESSINGER, MARTIN W",4,0.513363678,200
21572,"MCCARTHY, CAROLYN",4,-1.03432612,100
21698,"ACKERMAN, GARY L",5,-0.621681284,100
21478,"MEEKS, GREGORY WELDON",6,-0.533472868,100
21477,"CROWLEY, JOSEPH",7,-0.617831101,100
21795,"NADLER, JERROLD L MR.",8,-0.785069967,100
21476,"WEINER, ANTHONY D MR",9,-0.858728843,100
21798,"TOWNS, EDOLPHUS",10,-0.602581932,100
21697,"CLARKE, YVETTE",11,-0.88888864,100
21801,"VELAZQUEZ, NYDIA M",12,-0.825106022,100
20693,"HARRISON, STEPHEN A",13,-1.043565875,100
21475,"FOSSELLA, VITO J JR",13,0.36933264,200
20691,"MAIO, DANNIEL SUN",14,0.912184414,200
21796,"MALONEY, CAROLYN B",14,-0.703851609,100
21571,"RANGEL, CHARLES B",15,-0.62045339,100
21900,"SERRANO, JOSE E",16,-0.686175447,100
21474,"ENGEL, ELIOT L",17,-0.520395406,100
21129,"HOFFMAN, RICHARD A",18,0.484043938,200
21473,"LOWEY, NITA M",18,-0.983789402,100
21570,"HALL, JOHN JOSEPH",19,-1.365277593,100
21696,"KELLY, SUE",19,0.324625698,200
21472,"SWEENEY, JOHN E",20,0.348067582,200
21569,"GILLIBRAND, KIRSTEN ELIZABETH MRS",20,-1.133176248,100
21471,"MCNULTY, MICHAEL R",21,-0.468411777,100
21792,"HINCHEY, MAURICE D",22,-0.992945538,100
21126,"JOHNSON, ROBERT J",23,-1.802714604,100
21794,"MCHUGH, JOHN MICHAEL",23,0.043162434,200
20681,"MEIER, RAYMOND",24,0.655905136,200
21568,"ARCURI, MICHAEL ANGELO",24,-0.964038347,100
21470,"WALSH, JAMES T",25,0.369671508,200
21567,"MAFFEI, DANIEL B MR.",25,-1.150317749,100
21124,"DAVIS, JOHN R JR",26,-0.70424203,100
21469,"REYNOLDS, THOMAS M",26,0.49956023,200
21695,"HIGGINS, BRIAN M",27,-0.594717508,100
20679,"DONNELLY, JOHN E",28,-0.806300764,200
21573,"SLAUGHTER, LOUISE MCINTOSH",28,-1.029373179,100
21566,"MASSA, ERIC J J",29,-1.204039161,100
21694,"KUHL, JOHN R JR",29,0.494678369,200
