,Name,cfscore,District,Party,last_name,first_name,first_last_name
21468,"CHABOT, STEVEN J",1.09102999772,OH01,200,CHABOT,STEVEN J,STEVE CHABOT
21298,"CRANLEY, JOHN J IV",-0.995552649014,OH01,100,CRANLEY,JOHN J IV,JOHN CRANLEY
21565,"SCHMIDT, JEANNETTE H",0.972166203838,OH02,200,SCHMIDT,JEANNETTE H,JEAN SCHMIDT
20672,"WULSIN, VICTORIA WELLS",-1.27367018368,OH02,100,WULSIN,VICTORIA WELLS,VICTORIA WULSIN
21791,"TURNER, MICHAEL R",0.95064054199,OH03,200,TURNER,MICHAEL R,MICHAEL R. TURNER
20667,"CHEMA, JOHN RICHARD",-0.791103288061,OH03,100,CHEMA,JOHN RICHARD,RICHARD CHEMA
21564,"JORDAN, JAMES D",1.16617992128,OH04,200,JORDAN,JAMES D,JIM JORDAN
20666,"SIFERD, RICHARD E",-1.2745648857,OH04,100,SIFERD,RICHARD E,RICHARD E. SIFERD
21467,"GILLMOR, PAUL E",0.746667058937,OH05,200,GILLMOR,PAUL E,PAUL E. GILLMOR
21896,"TIBERI, PATRICK J",0.761395132356,OH12,200,TIBERI,PATRICK J,PAT TIBERI
21119,"WEIRAUCH, ROBIN R",-1.23266305592,OH05,100,WEIRAUCH,ROBIN R,ROBIN WEIRAUCH
21562,"WILSON, CHARLES A JR",-0.481053626762,OH06,100,WILSON,CHARLES A JR,CHARLES A. WILSON
20658,"BLASDEL, CHUCK",0.906249743903,OH06,200,BLASDEL,CHUCK,CHUCK BLASDEL
21898,"HOBSON, DAVID L",0.683625198748,OH07,200,HOBSON,DAVID L,DAVE HOBSON
20656,"CONNER, WILLIAM RUSSELL",-1.60697802348,OH07,100,CONNER,WILLIAM RUSSELL,WILLIAM R. CONNER
21789,"KAPTUR, MARCY",-0.587755282825,OH09,100,KAPTUR,MARCY,MARCY KAPTUR
21897,"BOEHNER, JOHN ANDREW",0.945359623002,OH08,200,BOEHNER,JOHN ANDREW,JOHN A. BOEHNER
20647,"KUCINICH, GARY J",-0.891936201252,OH13,100,KUCINICH,GARY J,DENNIS J. KUCINICH
20654,"DOVILLA, MICHAEL D",0.945230742339,OH10,200,DOVILLA,MICHAEL D,MICHAEL D. DOVILLA
20641,"PADGETT, JOY",0.923223107479,OH18,200,PADGETT,JOY,JOY PADGETT
21557,"SPACE, ZACHARY T",-0.82386435839,OH18,100,SPACE,ZACHARY T,ZACK SPACE
21787,"RYAN, TIMOTHY J",-0.528508096016,OH17,100,RYAN,TIMOTHY J,TIM RYAN
21558,"REGULA, RALPH S.",0.492195612759,OH16,200,REGULA,RALPH S.,RALPH REGULA
21559,"KILROY, MARY JO",-1.3302487648,OH15,100,KILROY,MARY JO,MARY JO KILROY
21788,"PRYCE, DEBORAH D",0.773027115565,OH15,200,PRYCE,DEBORAH D,DEBORAH PRYCE
21691,"LATOURETTE, STEVEN C",0.495298920282,OH14,200,LATOURETTE,STEVEN C,STEVEN C. LATOURETTE
21466,"JONES, STEPHANIE TUBBS",-0.538395071607,OH11,100,JONES,STEPHANIE TUBBS,STEPHANIE TUBBS JONES
21297,"SHAMANSKY, ROBERT N",-0.643009968302,OH12,100,SHAMANSKY,ROBERT N,BOB SHAMANSKY
21561,"SUTTON, BETTY S MS.",-1.15848781071,OH13,100,SUTTON,BETTY S MS.,BETTY SUTTON
20650,"FOLTIN, CRAIG MR.",0.777369696851,OH13,200,FOLTIN,CRAIG MR.,CRAIG FOLTIN
20653,"KATZ, LEWIS ROBERT",-1.04826659489,OH14,100,KATZ,LEWIS ROBERT,LEWIS R. KATZ
