,congdist,geoid
0,2.0,001-AAW
1,2.0,001-AAW
2,2.0,001-AAX
3,2.0,001-AAX
4,2.0,001-AAA
5,2.0,001-AAA
6,2.0,001-AAB
7,2.0,001-AAB
8,2.0,001-ABE
9,2.0,001-ABE
10,2.0,001-AAG
11,2.0,001-AAG
12,2.0,001-AAE
13,2.0,001-AAE
14,2.0,001-AAN
15,2.0,001-AAN
16,2.0,001-ABI
17,2.0,001-ABI
18,2.0,001-AAI
19,2.0,001-AAI
20,2.0,001-AAD
21,2.0,001-AAD
22,2.0,001-AAC
23,2.0,001-AAC
24,2.0,001-AAK
25,2.0,001-AAK
26,2.0,001-AAL
27,2.0,001-AAL
28,2.0,001-AAM
29,2.0,001-AAM
30,2.0,001-AAJ
31,2.0,001-AAJ
32,2.0,001-AAO
33,2.0,001-AAO
34,2.0,001-AAR
35,2.0,001-AAR
36,2.0,001-AAS
37,2.0,001-AAS
38,2.0,001-AAP
39,2.0,001-AAP
40,2.0,001-AAQ
41,2.0,001-AAQ
42,2.0,001-AAF
43,2.0,001-AAF
44,2.0,001-AAT
45,2.0,001-AAT
46,2.0,001-AAU
47,2.0,001-AAU
48,2.0,001-AAY
49,2.0,001-AAY
50,2.0,001-AAZ
51,2.0,001-AAZ
52,2.0,001-AAV
53,2.0,001-AAV
54,2.0,001-AAH
55,2.0,001-AAH
56,2.0,001-ABF
57,2.0,001-ABF
58,2.0,001-ABA
59,2.0,001-ABA
60,2.0,001-ABB
61,2.0,001-ABB
62,2.0,001-ABC
63,2.0,001-ABC
64,2.0,001-ABD
65,2.0,001-ABD
66,2.0,001-ABG
67,2.0,001-ABG
68,2.0,001-ABH
69,2.0,001-ABH
70,4.0,002-ACT
71,4.0,002-ACT
72,4.0,002-ACU
73,4.0,002-ACU
74,4.0,002-ACW
75,4.0,002-ACW
76,4.0,002-ACX
77,4.0,002-ACX
78,4.0,002-ACY
79,4.0,002-ACY
80,4.0,002-ACZ
81,4.0,002-ACZ
82,4.0,002-ADA
83,4.0,002-ADA
84,4.0,002-ADB
85,4.0,002-ADB
86,4.0,002-ADC
87,4.0,002-ADC
88,4.0,002-ADD
89,4.0,002-ADD
90,4.0,002-ADE
91,4.0,002-ADE
92,4.0,002-ADF
93,4.0,002-ADF
94,4.0,002-ADG
95,4.0,002-ADG
96,4.0,002-ADI
97,4.0,002-ADI
98,4.0,002-ADJ
99,4.0,002-ADJ
100,4.0,002-ADK
101,4.0,002-ADK
102,4.0,002-ADL
103,4.0,002-ADL
104,4.0,002-ADO
105,4.0,002-ADO
106,4.0,002-ADP
107,4.0,002-ADP
108,4.0,002-ADT
109,4.0,002-ADT
110,4.0,002-ADW
111,4.0,002-ADW
112,4.0,002-ADY
113,4.0,002-ADY
114,4.0,002-ADZ
115,4.0,002-ADZ
116,4.0,002-AEA
117,4.0,002-AEA
118,4.0,002-AEB
119,4.0,002-AEB
120,4.0,002-AEC
121,4.0,002-AEC
122,4.0,002-AED
123,4.0,002-AED
124,4.0,002-AEE
125,4.0,002-AEE
126,4.0,002-AEF
127,4.0,002-AEF
128,4.0,002-AEG
129,4.0,002-AEG
130,4.0,002-AEI
131,4.0,002-AEI
132,4.0,002-AEJ
133,4.0,002-AEJ
134,4.0,002-AEK
135,4.0,002-AEK
136,4.0,002-AFE
137,4.0,002-AFE
138,4.0,002-AFI
139,4.0,002-AFI
140,4.0,002-AFJ
141,4.0,002-AFJ
142,4.0,002-AFK
143,4.0,002-AFK
144,4.0,002-AFL
145,4.0,002-AFL
146,4.0,002-AFM
147,4.0,002-AFM
148,4.0,002-AEW
149,4.0,002-AEW
150,4.0,002-AAA
151,4.0,002-AAA
152,4.0,002-AAC
153,4.0,002-AAC
154,4.0,002-AAE
155,4.0,002-AAE
156,4.0,002-AAG
157,4.0,002-AAG
158,4.0,002-ADQ
159,4.0,002-ADQ
160,4.0,002-ADR
161,4.0,002-ADR
162,4.0,002-AGB
163,4.0,002-AGB
164,4.0,002-AGC
165,4.0,002-AGC
166,4.0,002-AGD
167,4.0,002-AGD
168,4.0,002-ADU
169,4.0,002-ADU
170,4.0,002-AEN
171,4.0,002-AEN
172,4.0,002-AEQ
173,4.0,002-AEQ
174,4.0,002-AEO
175,4.0,002-AEO
176,4.0,002-AAH
177,4.0,002-AAH
178,4.0,002-AAJ
179,4.0,002-AAJ
180,4.0,002-AAK
181,4.0,002-AAK
182,4.0,002-AAL
183,4.0,002-AAL
184,4.0,002-AAN
185,4.0,002-AAN
186,4.0,002-AAO
187,4.0,002-AAO
188,4.0,002-AAP
189,4.0,002-AAP
190,4.0,002-AAQ
191,4.0,002-AAQ
192,4.0,002-AAR
193,4.0,002-AAR
194,4.0,002-AAS
195,4.0,002-AAS
196,4.0,002-AAT
197,4.0,002-AAT
198,4.0,002-AAV
199,4.0,002-AAV
200,4.0,002-AAW
201,4.0,002-AAW
202,4.0,002-AAX
203,4.0,002-AAX
204,4.0,002-AAY
205,4.0,002-AAY
206,4.0,002-ABE
207,4.0,002-ABE
208,4.0,002-ABF
209,4.0,002-ABF
210,4.0,002-ABH
211,4.0,002-ABH
212,4.0,002-ABI
213,4.0,002-ABI
214,4.0,002-ABJ
215,4.0,002-ABJ
216,4.0,002-ABK
217,4.0,002-ABK
218,4.0,002-ABM
219,4.0,002-ABM
220,4.0,002-ABP
221,4.0,002-ABP
222,4.0,002-ABQ
223,4.0,002-ABQ
224,4.0,002-ABR
225,4.0,002-ABR
226,4.0,002-ABT
227,4.0,002-ABT
228,4.0,002-ABW
229,4.0,002-ABW
230,4.0,002-ABX
231,4.0,002-ABX
232,4.0,002-ABZ
233,4.0,002-ABZ
234,4.0,002-ACA
235,4.0,002-ACA
236,4.0,002-ACB
237,4.0,002-ACB
238,4.0,002-ACC
239,4.0,002-ACC
240,4.0,002-ACD
241,4.0,002-ACD
242,4.0,002-ACE
243,4.0,002-ACE
244,4.0,002-ACG
245,4.0,002-ACG
246,4.0,002-ACH
247,4.0,002-ACH
248,4.0,002-ACI
249,4.0,002-ACI
250,4.0,002-ACM
251,4.0,002-ACM
252,4.0,002-ACN
253,4.0,002-ACN
254,4.0,002-ACO
255,4.0,002-ACO
256,4.0,002-AES
257,4.0,002-AES
258,4.0,002-AET
259,4.0,002-AET
260,4.0,002-AEX
261,4.0,002-AEX
262,4.0,002-AEY
263,4.0,002-AEY
264,4.0,002-AFB
265,4.0,002-AFB
266,4.0,002-AFC
267,4.0,002-AFC
268,4.0,002-AEZ
269,4.0,002-AEZ
270,4.0,002-AFA
271,4.0,002-AFA
272,4.0,002-AFF
273,4.0,002-AFF
274,4.0,002-AFG
275,4.0,002-AFG
276,4.0,002-AFN
277,4.0,002-AFN
278,4.0,002-AFO
279,4.0,002-AFO
280,4.0,002-AFP
281,4.0,002-AFP
282,4.0,002-AFQ
283,4.0,002-AFQ
284,4.0,002-AFR
285,4.0,002-AFR
286,4.0,002-AFS
287,4.0,002-AFS
288,4.0,002-AFT
289,4.0,002-AFT
290,4.0,002-AFU
291,4.0,002-AFU
292,4.0,002-AFV
293,4.0,002-AFV
294,4.0,002-AFW
295,4.0,002-AFW
296,4.0,002-AFX
297,4.0,002-AFX
298,4.0,002-AFY
299,4.0,002-AFY
300,4.0,002-AFZ
301,4.0,002-AFZ
302,4.0,002-AGA
303,4.0,002-AGA
304,4.0,002-AGI
305,4.0,002-AGI
306,4.0,002-AGK
307,4.0,002-AGK
308,4.0,002-AGL
309,4.0,002-AGL
310,4.0,002-AGN
311,4.0,002-AGN
312,16.0,003-AAA
313,16.0,003-AAA
314,16.0,003-AAB
315,16.0,003-AAB
316,16.0,003-AAC
317,16.0,003-AAC
318,16.0,003-AAD
319,16.0,003-AAD
320,16.0,003-AAE
321,16.0,003-AAE
322,16.0,003-AAF
323,16.0,003-AAF
324,16.0,003-AAG
325,16.0,003-AAG
326,16.0,003-AAH
327,16.0,003-AAH
328,16.0,003-AAI
329,16.0,003-AAI
330,16.0,003-AAJ
331,16.0,003-AAJ
332,16.0,003-AAK
333,16.0,003-AAK
334,16.0,003-AAL
335,16.0,003-AAL
336,16.0,003-AAM
337,16.0,003-AAM
338,16.0,003-AAN
339,16.0,003-AAN
340,16.0,003-AAQ
341,16.0,003-AAQ
342,16.0,003-AAR
343,16.0,003-AAR
344,16.0,003-AAS
345,16.0,003-AAS
346,16.0,003-AAT
347,16.0,003-AAT
348,16.0,003-AAU
349,16.0,003-AAU
350,16.0,003-AAV
351,16.0,003-AAV
352,16.0,003-AAW
353,16.0,003-AAW
354,16.0,003-AAZ
355,16.0,003-AAZ
356,16.0,003-ABA
357,16.0,003-ABA
358,16.0,003-ABB
359,16.0,003-ABB
360,16.0,003-ABC
361,16.0,003-ABC
362,16.0,003-ABD
363,16.0,003-ABD
364,5.0,003-ABF
365,5.0,003-ABF
366,5.0,003-ABG
367,5.0,003-ABG
368,16.0,003-ABI
369,16.0,003-ABI
370,16.0,003-ABJ
371,16.0,003-ABJ
372,16.0,003-ABN
373,16.0,003-ABN
374,16.0,003-ACR
375,16.0,003-ACR
376,5.0,003-ABS
377,5.0,003-ABS
378,5.0,003-ABT
379,5.0,003-ABT
380,16.0,003-ACB
381,16.0,003-ACB
382,16.0,003-ABV
383,16.0,003-ABV
384,16.0,003-ABO
385,16.0,003-ABO
386,16.0,003-ABP
387,16.0,003-ABP
388,16.0,003-ABQ
389,16.0,003-ABQ
390,16.0,003-ACV
391,16.0,003-ACV
392,16.0,003-ACW
393,16.0,003-ACW
394,16.0,003-ABY
395,16.0,003-ABY
396,16.0,003-ABZ
397,16.0,003-ABZ
398,16.0,003-ACA
399,16.0,003-ACA
400,16.0,003-ACC
401,16.0,003-ACC
402,16.0,003-ACD
403,16.0,003-ACD
404,16.0,003-ACE
405,16.0,003-ACE
406,16.0,003-ACF
407,16.0,003-ACF
408,16.0,003-ACG
409,16.0,003-ACG
410,16.0,003-ACH
411,16.0,003-ACH
412,5.0,003-ACI
413,5.0,003-ACI
414,5.0,003-ACJ
415,5.0,003-ACJ
416,5.0,003-ACK
417,5.0,003-ACK
418,16.0,003-ACL
419,16.0,003-ACL
420,16.0,003-ACM
421,16.0,003-ACM
422,16.0,003-ABK
423,16.0,003-ABK
424,5.0,003-ABU
425,5.0,003-ABU
426,5.0,003-ACN
427,5.0,003-ACN
428,5.0,003-ABH
429,5.0,003-ABH
430,5.0,003-ACO
431,5.0,003-ACO
432,5.0,003-ACP
433,5.0,003-ACP
434,5.0,003-ACQ
435,5.0,003-ACQ
436,16.0,003-ACS
437,16.0,003-ACS
438,16.0,003-ACT
439,16.0,003-ACT
440,16.0,003-ACU
441,16.0,003-ACU
442,14.0,004-ABZ
443,14.0,004-ABZ
444,14.0,004-ACA
445,14.0,004-ACA
446,14.0,004-ACB
447,14.0,004-ACB
448,14.0,004-ACC
449,14.0,004-ACC
450,14.0,004-AAA
451,14.0,004-AAA
452,14.0,004-AAB
453,14.0,004-AAB
454,14.0,004-AAC
455,14.0,004-AAC
456,14.0,004-AAD
457,14.0,004-AAD
458,14.0,004-AAE
459,14.0,004-AAE
460,14.0,004-AAF
461,14.0,004-AAF
462,14.0,004-AAG
463,14.0,004-AAG
464,14.0,004-AAH
465,14.0,004-AAH
466,14.0,004-AAI
467,14.0,004-AAI
468,14.0,004-AAJ
469,14.0,004-AAJ
470,14.0,004-AAK
471,14.0,004-AAK
472,14.0,004-AAL
473,14.0,004-AAL
474,14.0,004-AAM
475,14.0,004-AAM
476,14.0,004-AAN
477,14.0,004-AAN
478,14.0,004-AAO
479,14.0,004-AAO
480,14.0,004-AAP
481,14.0,004-AAP
482,14.0,004-AAQ
483,14.0,004-AAQ
484,14.0,004-AAR
485,14.0,004-AAR
486,14.0,004-AAS
487,14.0,004-AAS
488,14.0,004-AAT
489,14.0,004-AAT
490,14.0,004-AAU
491,14.0,004-AAU
492,14.0,004-AAV
493,14.0,004-AAV
494,14.0,004-AAW
495,14.0,004-AAW
496,14.0,004-AAX
497,14.0,004-AAX
498,14.0,004-AAY
499,14.0,004-AAY
500,14.0,004-AAZ
501,14.0,004-AAZ
502,14.0,004-ABA
503,14.0,004-ABA
504,14.0,004-ACD
505,14.0,004-ACD
506,14.0,004-ACG
507,14.0,004-ACG
508,14.0,004-ACH
509,14.0,004-ACH
510,14.0,004-ACI
511,14.0,004-ACI
512,14.0,004-ACJ
513,14.0,004-ACJ
514,14.0,004-ACK
515,14.0,004-ACK
516,14.0,004-ACL
517,14.0,004-ACL
518,14.0,004-ACM
519,14.0,004-ACM
520,14.0,004-ACO
521,14.0,004-ACO
522,14.0,004-ACP
523,14.0,004-ACP
524,14.0,004-ACQ
525,14.0,004-ACQ
526,14.0,004-ACR
527,14.0,004-ACR
528,14.0,004-ABB
529,14.0,004-ABB
530,14.0,004-ABC
531,14.0,004-ABC
532,14.0,004-ABD
533,14.0,004-ABD
534,14.0,004-ABE
535,14.0,004-ABE
536,14.0,004-ABF
537,14.0,004-ABF
538,14.0,004-ABG
539,14.0,004-ABG
540,14.0,004-ABH
541,14.0,004-ABH
542,14.0,004-ABI
543,14.0,004-ABI
544,14.0,004-ABJ
545,14.0,004-ABJ
546,14.0,004-ABK
547,14.0,004-ABK
548,14.0,004-ABL
549,14.0,004-ABL
550,14.0,004-ABM
551,14.0,004-ABM
552,14.0,004-ABN
553,14.0,004-ABN
554,14.0,004-ABO
555,14.0,004-ABO
556,14.0,004-ABP
557,14.0,004-ABP
558,14.0,004-ABQ
559,14.0,004-ABQ
560,14.0,004-ACS
561,14.0,004-ACS
562,14.0,004-ACT
563,14.0,004-ACT
564,14.0,004-ACY
565,14.0,004-ACY
566,14.0,004-ACZ
567,14.0,004-ACZ
568,14.0,004-ABR
569,14.0,004-ABR
570,14.0,004-ABS
571,14.0,004-ABS
572,14.0,004-ABT
573,14.0,004-ABT
574,14.0,004-ABU
575,14.0,004-ABU
576,14.0,004-ABV
577,14.0,004-ABV
578,14.0,004-ABW
579,14.0,004-ABW
580,14.0,004-ABX
581,14.0,004-ABX
582,14.0,004-ABY
583,14.0,004-ABY
584,14.0,004-ACU
585,14.0,004-ACU
586,14.0,004-ACV
587,14.0,004-ACV
588,14.0,004-ACW
589,14.0,004-ACW
590,14.0,004-ACX
591,14.0,004-ACX
592,14.0,004-ADA
593,14.0,004-ADA
594,14.0,004-ADB
595,14.0,004-ADB
596,14.0,004-ADC
597,14.0,004-ADC
598,14.0,004-ADD
599,14.0,004-ADD
600,14.0,004-ADE
601,14.0,004-ADE
602,14.0,004-ADI
603,14.0,004-ADI
604,14.0,004-ADJ
605,14.0,004-ADJ
606,14.0,004-ADK
607,14.0,004-ADK
608,14.0,004-ADL
609,14.0,004-ADL
610,14.0,004-ADF
611,14.0,004-ADF
612,14.0,004-ADG
613,14.0,004-ADG
614,14.0,004-ADH
615,14.0,004-ADH
616,14.0,004-ADM
617,14.0,004-ADM
618,14.0,004-ADN
619,14.0,004-ADN
620,14.0,004-ADO
621,14.0,004-ADO
622,14.0,004-ADP
623,14.0,004-ADP
624,14.0,004-ADQ
625,14.0,004-ADQ
626,14.0,004-ADR
627,14.0,004-ADR
628,14.0,004-ADT
629,14.0,004-ADT
630,14.0,004-ADV
631,14.0,004-ADV
632,14.0,004-ADW
633,14.0,004-ADW
634,14.0,004-ADX
635,14.0,004-ADX
636,14.0,004-ADY
637,14.0,004-ADY
638,14.0,004-ADU
639,14.0,004-ADU
640,14.0,004-ADZ
641,14.0,004-ADZ
642,14.0,004-AEA
643,14.0,004-AEA
644,14.0,004-AEB
645,14.0,004-AEB
646,14.0,004-AEC
647,14.0,004-AEC
648,14.0,004-AED
649,14.0,004-AED
650,14.0,004-AEE
651,14.0,004-AEE
652,14.0,004-AEF
653,14.0,004-AEF
654,14.0,004-AEZ
655,14.0,004-AEZ
656,14.0,004-ADS
657,14.0,004-ADS
658,14.0,004-AEG
659,14.0,004-AEG
660,14.0,004-AEH
661,14.0,004-AEH
662,14.0,004-AEI
663,14.0,004-AEI
664,14.0,004-AEJ
665,14.0,004-AEJ
666,14.0,004-AEK
667,14.0,004-AEK
668,14.0,004-AEL
669,14.0,004-AEL
670,14.0,004-AEM
671,14.0,004-AEM
672,14.0,004-AEN
673,14.0,004-AEN
674,14.0,004-AEO
675,14.0,004-AEO
676,14.0,004-AEP
677,14.0,004-AEP
678,14.0,004-AEQ
679,14.0,004-AEQ
680,14.0,004-AER
681,14.0,004-AER
682,14.0,004-AES
683,14.0,004-AES
684,14.0,004-AET
685,14.0,004-AET
686,14.0,004-AEU
687,14.0,004-AEU
688,14.0,004-AEX
689,14.0,004-AEX
690,14.0,004-AEY
691,14.0,004-AEY
692,14.0,004-AEV
693,14.0,004-AEV
694,14.0,004-AEW
695,14.0,004-AEW
697,6.0,005-ABW
699,6.0,005-ABF
701,6.0,005-ABG
703,6.0,005-ABH
705,6.0,005-ABI
707,6.0,005-AAA
709,6.0,005-AAB
711,6.0,005-AAC
713,6.0,005-AAD
715,6.0,005-AAE
717,6.0,005-AAF
719,6.0,005-AAG
721,6.0,005-AAH
723,6.0,005-AAI
725,6.0,005-AAJ
727,6.0,005-AAK
729,6.0,005-AAL
731,6.0,005-AAM
733,6.0,005-AAN
735,6.0,005-AAO
737,6.0,005-AAP
739,6.0,005-AAQ
741,6.0,005-AAR
743,6.0,005-AAS
745,6.0,005-AAT
747,6.0,005-AAU
749,6.0,005-AAV
751,6.0,005-AAW
753,6.0,005-ABJ
755,6.0,005-ABK
757,6.0,005-ABL
759,6.0,005-ABO
760,18.0,005-ACO
761,18.0,005-ACO
763,6.0,005-ABP
765,6.0,005-ABQ
767,6.0,005-ABR
768,18.0,005-ABS
769,18.0,005-ABS
770,18.0,005-ABT
771,18.0,005-ABT
773,6.0,005-ACI
774,18.0,005-ACE
775,18.0,005-ACE
776,18.0,005-ACF
777,18.0,005-ACF
778,18.0,005-ACG
779,18.0,005-ACG
780,18.0,005-ACH
781,18.0,005-ACH
783,6.0,005-ABZ
784,18.0,005-ACB
785,18.0,005-ACB
787,6.0,005-ABX
789,6.0,005-ABY
790,18.0,005-ABU
791,18.0,005-ABU
792,18.0,005-AAX
793,18.0,005-AAX
794,18.0,005-AAY
795,18.0,005-AAY
796,18.0,005-AAZ
797,18.0,005-AAZ
798,18.0,005-ABA
799,18.0,005-ABA
800,18.0,005-ABB
801,18.0,005-ABB
802,18.0,005-ABC
803,18.0,005-ABC
804,18.0,005-ABD
805,18.0,005-ABD
806,18.0,005-ABE
807,18.0,005-ABE
809,6.0,005-ACL
810,18.0,005-ACL
811,18.0,005-ACL
813,6.0,005-ABM
815,6.0,005-ABN
817,6.0,005-ACA
818,18.0,005-ABV
819,18.0,005-ABV
820,18.0,005-ACC
821,18.0,005-ACC
822,18.0,005-ACD
823,18.0,005-ACD
825,6.0,005-ACJ
827,6.0,005-ACK
828,18.0,005-ACM
829,18.0,005-ACM
831,6.0,005-ACN
832,18.0,005-ACN
833,18.0,005-ACN
834,18.0,005-ACP
835,18.0,005-ACP
836,18.0,005-ACQ
837,18.0,005-ACQ
838,4.0,006-ABB
839,4.0,006-ABB
840,4.0,006-AAO
841,4.0,006-AAO
842,4.0,006-AAS
843,4.0,006-AAS
844,4.0,006-ABR
845,4.0,006-ABR
846,4.0,006-AAP
847,4.0,006-AAP
848,4.0,006-AAR
849,4.0,006-AAR
850,4.0,006-AAU
851,4.0,006-AAU
852,4.0,006-AAX
853,4.0,006-AAX
854,4.0,006-AAY
855,4.0,006-AAY
856,4.0,006-ABC
857,4.0,006-ABC
858,4.0,006-AAZ
859,4.0,006-AAZ
860,4.0,006-ABA
861,4.0,006-ABA
862,4.0,006-ABD
863,4.0,006-ABD
864,4.0,006-AAV
865,4.0,006-AAV
866,4.0,006-AAW
867,4.0,006-AAW
868,4.0,006-ABN
869,4.0,006-ABN
870,4.0,006-ABF
871,4.0,006-ABF
872,4.0,006-ABG
873,4.0,006-ABG
874,4.0,006-ABK
875,4.0,006-ABK
876,4.0,006-AAA
877,4.0,006-AAA
878,4.0,006-AAB
879,4.0,006-AAB
