,Name,cf_score,last_name,first_name,first_last_name
24006,"DAILEY, FRED LEE",1.16376516079,DAILEY,FRED LEE,FRED LEE DAILEY
24007,"MOLL, JEANETTE M MS",1.19839777023,MOLL,JEANETTE M MS,JEANETTE M MS MOLL
24008,"SCHIFFER, PAUL RAYMOND",1.29986288553,SCHIFFER,PAUL RAYMOND,PAUL RAYMOND SCHIFFER
24009,"STIVERS, STEVE MR.",0.94031253207,STIVERS,STEVE,STEVE STIVERS
24010,"O'NEILL, WILLIAM MICHAEL",-1.1312557814,O'NEILL,BILL,BILL O'NEILL
24011,"RYON, DAVID BLAIR",2.38512824584,RYON,DAVID BLAIR,DAVID BLAIR RYON
24012,"VON STEIN, NICHOLAS ADAM",-0.924158553653,VON STEIN,NICHOLAS ADAM,NICHOLAS ADAM VON STEIN
24013,"ESRATI, DAVID",-1.72882551008,ESRATI,DAVID,DAVID ESRATI
24014,"KRIKORIAN, DAVID H",-0.171911776593,KRIKORIAN,DAVID H,DAVID H KRIKORIAN
24015,"SANDERS, CHARLES W",-4.54359366407,SANDERS,CHARLES W,CHARLES W SANDERS
24016,"WILSON, ERIC",-1.13561811914,WILSON,ERIC,ERIC WILSON
24198,"MILLER, MATT",1.32062752274,MILLER,MATT,MATT MILLER
24199,"CONNER, WILLIAM R.",-1.60697802348,CONNER,BIL,BILL CONNER
24200,"WULSIN, VICTORIA",-1.27367018368,WULSIN,VICTORIA,VICTORIA WULSIN
24201,"BRINKMAN, THOMAS E",1.21141567875,BRINKMAN,THOMAS E,THOMAS E BRINKMAN
24258,"CAFARO, CAPRI",-0.571095464731,CAFARO,CAPRI,CAPRI CAFARO
24604,"HOOD, RONALD E",1.31510228198,HOOD,RONALD E,RONALD E HOOD
24605,"DAUBENMIRE, DAVID EDWARD",1.88086617446,DAUBENMIRE,DAVID EDWARD,DAVID EDWARD DAUBENMIRE
24606,"LIGGETT, HOMBRE MICHAEL",2.76336319529,LIGGETT,HOMBRE MICHAEL,HOMBRE MICHAEL LIGGETT
24607,"GIBBS, ROBERT BRIAN MR.",1.27188506087,GIBBS,BOB,BOB GIBBS
24608,"GRAHAM, JAMES J",0.738160557861,GRAHAM,JIM,JIM GRAHAM
24609,"HENDERSON, MURRELL ELLIOT",1.63735043241,HENDERSON,MURRELL ELLIOT,MURRELL ELLIOT HENDERSON
24610,"SMITH, HERBERT DOYLE",1.40828062201,SMITH,HERBERT DOYLE,HERBERT DOYLE SMITH
24611,"RENACCI, JAMES B",1.08612875715,RENACCI,JAMES,JAMES RENACCI
24612,"ADAMS, JOHN",1.14633855069,ADAMS,JOHN,JOHN ADAMS
24613,"GANLEY, THOMAS D",0.996646886888,GANLEY,TOM,TOM GANLEY
24614,"WOODEN, JUSTIN PAUL",2.46405649068,WOODEN,JUSTIN PAUL,JUSTIN PAUL WOODEN
24615,"MEADE, JASON ASHLEY",2.08033603656,MEADE,JASON ASHLEY,JASON ASHLEY MEADE
24616,"BROOKS, PAULA L",-0.991044490272,BROOKS,PAULA,PAULA BROOKS
24617,"CORRIGAN, PETER J",1.09740216423,CORRIGAN,PETER,PETER CORRIGAN
24618,"SWARTZ, JEREMY D",4.84890709436,SWARTZ,JEREMY D,JEREMY D SWARTZ
24619,"SMITH, JACKIE LEE",0.788814491544,SMITH,JACKIE LEE,JACKIE LEE SMITH
24620,"IOTT, RICHARD BRADLEY",1.15910417321,IOTT,RICH,RICH IOTT
24621,"COUSSOULE, JUSTIN",-1.6908464421,COUSSOULE,JUSTIN,JUSTIN COUSSOULE
24622,"SCHREYER, MANFRED RICHARD",-0.863834105406,SCHREYER,MANFRED RICHARD,MANFRED RICHARD SCHREYER
24623,"JOHNSON, BILL",1.04172889508,JOHNSON,BILL,BILL JOHNSON
24624,"LITT, DOUGLAS ALAN",-1.49793053512,LITT,DOUG,DOUG LITT
24625,"ROBERTS, JOSEPH MICHAEL",-1.31053846792,ROBERTS,JOE,JOE ROBERTS
24626,"MACNEALY, MARK A",-0.45002532637,MACNEALY,MARK A,MARK A MACNEALY
24627,"OBERER, RENE LOUISE",1.38161774597,OBERER,RENE LOUISE,RENE LOUISE OBERER
24628,"KILBURN, C. MICHAEL",2.8885738566,KILBURN,C. MICHAEL,C. MICHAEL KILBURN
24629,"YALAMANCHILI, SURYA",-1.03410497063,YALAMANCHILI,SURYA,SURYA YALAMANCHILI
24630,"BOOK, THOMAS TODD",-0.409409105981,BOOK,THOMAS TODD,THOMAS TODD BOOK
25511,"KUCINICH, DENNIS J",-1.51048461779,KUCINICH,DENNIS,DENNIS KUCINICH
25535,"BOCCIERI, JOHN A",-0.848088340056,BOCCIERI,JOHN,JOHN BOCCIERI
25536,"FUDGE, MARCIA L",-0.763169628615,FUDGE,MARCIA,MARCIA FUDGE
25537,"AUSTRIA, STEVE C",0.896020582665,AUSTRIA,STEVE,STEVE AUSTRIA
25538,"LATTA, ROBERT EDWARD",1.00037703976,LATTA,BOB,BOB LATTA
25539,"DRIEHAUS, STEVEN LEO",-1.00091530164,DRIEHAUS,STEVE,STEVE DRIEHAUS
25540,"CHABOT, STEVEN J",1.09102999772,CHABOT,STEVE,STEVE CHABOT
25652,"SPACE, ZACHARY T",-0.82386435839,SPACE,ZACK,ZACK SPACE
25653,"KILROY, MARY JO",-1.3302487648,KILROY,MARY JO,MARY JO KILROY
25654,"SUTTON, BETTY S MS.",-1.15848781071,SUTTON,BETTY,BETTY SUTTON
25655,"WILSON, CHARLES A JR",-0.481053626762,WILSON,CHARLIE,CHARLIE WILSON
25656,"JORDAN, JAMES D",1.16617992128,JORDAN,JIM,JIM JORDAN
25657,"SCHMIDT, JEANNETTE H",0.972166203838,SCHMIDT,JEAN,JEAN SCHMIDT
25766,"LATOURETTE, STEVEN C",0.495298920282,LATOURETTE,STEVEN,STEVEN LATOURETTE
25841,"RYAN, TIMOTHY J",-0.528508096016,RYAN,TIMOTHY,TIMOTHY RYAN
25842,"PRYCE, DEBORAH D",0.773027115565,PRYCE,DEBORAH D,DEBORAH D PRYCE
25843,"KAPTUR, MARCY",-0.587755282825,KAPTUR,MARCY,MARCY KAPTUR
25844,"TURNER, MICHAEL R",0.95064054199,TURNER,MIKE,MIKE TURNER
25930,"TIBERI, PATRICK J",0.761395132356,TIBERI,PAT,PAT TIBERI
25931,"BOEHNER, JOHN ANDREW",0.945359623002,BOEHNER,JOHN,JOHN BOEHNER
25932,"HOBSON, DAVID L",0.683625198748,HOBSON,DAVID L,DAVID L HOBSON
