congdist,ideo,self_p,state
22,2,32,ny
24,4,75,ny
22,2,25,ny
2,3,60,ny
25,2,35,ny
8,1,1,ny
13,4,85,ny
29,3,85,ny
25,4,82,ny
20,1,6,ny
25,4,32,ny
25,2,53,ny
29,4,67,ny
26,2,16,ny
20,3,60,ny
14,5,92,ny
29,2,3,ny
25,4,76,ny
11,1,5,ny
19,5,100,ny
24,3,48,ny
22,2,32,ny
18,2,27,ny
12,2,10,ny
25,3,46,ny
18,2,0,ny
20,2,38,ny
8,1,1,ny
13,3,42,ny
21,4,68,ny
3,2,46,ny
22,3,22,ny
29,3,60,ny
11,3,20,ny
29,3,46,ny
18,2,7,ny
21,2,50,ny
16,3,38,ny
1,3,28,ny
9,2,20,ny
26,3,35,ny
20,5,81,ny
28,5,96,ny
18,5,10,ny
22,2,35,ny
23,2,64,ny
22,4,97,ny
28,4,98,ny
26,3,42,ny
26,3,50,ny
25,4,80,ny
25,2,27,ny
27,4,4,ny
8,1,15,ny
25,5,98,ny
28,1,7,ny
22,1,17,ny
15,1,20,ny
24,4,78,ny
10,3,50,ny
12,3,28,ny
20,4,69,ny
20,3,50,ny
23,2,44,ny
10,3,19,ny
14,1,1,ny
4,1,0,ny
14,2,20,ny
13,2,58,ny
13,3,55,ny
24,2,18,ny
25,5,81,ny
23,4,80,ny
14,4,90,ny
18,4,85,ny
26,2,29,ny
18,4,68,ny
22,2,20,ny
18,3,50,ny
20,4,66,ny
11,2,29,ny
13,3,65,ny
21,3,40,ny
21,3,55,ny
12,2,5,ny
25,4,80,ny
24,3,20,ny
17,4,49,ny
27,3,32,ny
22,5,100,ny
19,2,15,ny
1,3,18,ny
3,3,83,ny
23,1,3,ny
25,4,83,ny
20,3,34,ny
19,3,44,ny
14,2,16,ny
14,1,3,ny
3,4,65,ny
22,4,80,ny
13,3,58,ny
2,3,60,ny
15,2,48,ny
17,4,82,ny
26,5,90,ny
26,3,70,ny
1,4,55,ny
24,3,46,ny
1,3,10,ny
3,2,10,ny
24,3,60,ny
3,3,61,ny
19,3,41,ny
12,1,5,ny
22,1,1,ny
26,4,82,ny
3,3,55,ny
13,3,47,ny
23,3,50,ny
9,4,87,ny
3,4,75,ny
1,3,67,ny
20,4,78,ny
3,2,20,ny
27,3,65,ny
29,5,85,ny
11,3,52,ny
4,4,85,ny
8,3,38,ny
14,4,77,ny
15,1,13,ny
4,2,11,ny
12,3,77,ny
3,2,44,ny
1,3,47,ny
8,2,33,ny
26,4,50,ny
10,3,50,ny
25,3,37,ny
20,3,40,ny
25,3,50,ny
22,2,25,ny
10,4,100,ny
24,2,23,ny
7,1,0,ny
28,5,100,ny
17,1,6,ny
17,3,60,ny
12,3,31,ny
3,4,88,ny
18,4,95,ny
24,4,57,ny
15,2,9,ny
20,2,25,ny
28,3,55,ny
21,3,42,ny
23,5,94,ny
20,5,86,ny
29,5,80,ny
12,1,0,ny
11,2,15,ny
20,4,61,ny
20,2,21,ny
4,4,65,ny
13,4,85,ny
19,4,91,ny
25,2,30,ny
5,5,100,ny
22,3,40,ny
2,3,40,ny
21,3,65,ny
17,4,80,ny
8,2,25,ny
1,3,75,ny
22,3,45,ny
28,2,3,ny
20,5,98,ny
3,3,50,ny
29,3,58,ny
19,4,85,ny
22,4,65,ny
17,2,3,ny
22,2,25,ny
1,4,99,ny
1,4,77,ny
2,5,100,ny
28,4,83,ny
28,3,29,ny
10,2,65,ny
19,4,65,ny
12,2,15,ny
22,2,47,ny
14,3,37,ny
21,4,70,ny
25,3,62,ny
22,4,90,ny
26,3,24,ny
19,4,95,ny
22,3,52,ny
22,5,95,ny
9,3,44,ny
21,3,48,ny
22,1,18,ny
29,1,5,ny
25,5,99,ny
3,4,59,ny
3,4,83,ny
25,5,95,ny
1,4,75,ny
2,1,9,ny
23,5,90,ny
26,5,99,ny
26,4,92,ny
14,3,54,ny
26,4,53,ny
19,4,85,ny
22,3,36,ny
18,2,0,ny
14,3,65,ny
19,3,50,ny
19,2,40,ny
17,1,11,ny
3,4,80,ny
11,4,76,ny
2,3,58,ny
29,3,38,ny
12,2,29,ny
1,2,25,ny
24,5,80,ny
20,3,50,ny
21,3,50,ny
2,3,50,ny
20,4,94,ny
8,2,30,ny
1,3,80,ny
11,2,12,ny
15,2,26,ny
18,3,46,ny
23,2,15,ny
26,3,56,ny
11,3,40,ny
25,4,71,ny
20,3,21,ny
22,4,85,ny
2,5,86,ny
22,3,30,ny
9,4,80,ny
1,3,50,ny
19,5,95,ny
1,4,90,ny
28,3,32,ny
9,2,30,ny
8,2,18,ny
21,2,38,ny
26,3,50,ny
3,4,76,ny
21,3,54,ny
28,4,75,ny
15,1,1,ny
18,4,51,ny
29,4,80,ny
1,2,30,ny
8,2,40,ny
24,3,32,ny
13,4,96,ny
28,4,61,ny
13,1,0,ny
2,3,50,ny
18,2,30,ny
13,2,33,ny
20,4,80,ny
25,3,48,ny
23,4,96,ny
23,3,29,ny
3,4,90,ny
19,3,50,ny
18,3,80,ny
29,5,70,ny
13,2,24,ny
5,4,75,ny
8,3,24,ny
28,4,91,ny
20,2,14,ny
1,4,83,ny
19,3,55,ny
22,2,25,ny
18,5,95,ny
1,4,80,ny
22,3,59,ny
14,2,25,ny
28,2,21,ny
27,2,14,ny
21,2,45,ny
19,3,45,ny
27,3,36,ny
5,1,2,ny
28,4,94,ny
22,2,8,ny
4,2,45,ny
4,3,44,ny
15,1,4,ny
11,3,50,ny
3,4,90,ny
1,3,51,ny
22,4,100,ny
21,3,40,ny
23,4,66,ny
1,4,75,ny
22,3,41,ny
22,3,98,ny
22,3,35,ny
24,2,23,ny
20,3,44,ny
8,3,60,ny
20,3,48,ny
23,4,80,ny
26,4,86,ny
2,4,50,ny
25,4,69,ny
3,3,38,ny
1,3,55,ny
26,2,42,ny
29,4,60,ny
22,1,16,ny
19,4,70,ny
24,4,82,ny
13,3,42,ny
22,2,35,ny
1,3,42,ny
5,2,43,ny
1,3,35,ny
27,2,40,ny
25,3,50,ny
7,1,10,ny
1,4,92,ny
14,2,25,ny
3,1,1,ny
28,2,40,ny
14,2,35,ny
25,5,90,ny
7,2,25,ny
25,2,8,ny
4,3,55,ny
9,4,48,ny
20,2,0,ny
22,3,56,ny
27,3,56,ny
19,3,45,ny
18,3,43,ny
13,3,50,ny
24,1,13,ny
29,3,49,ny
29,3,69,ny
20,3,23,ny
29,4,70,ny
26,2,25,ny
16,5,93,ny
20,3,35,ny
29,4,75,ny
24,5,80,ny
4,5,98,ny
23,5,91,ny
21,3,55,ny
26,3,42,ny
21,3,61,ny
24,2,31,ny
21,2,10,ny
22,4,53,ny
27,4,71,ny
12,3,49,ny
13,3,14,ny
1,4,80,ny
19,3,60,ny
19,3,65,ny
19,3,51,ny
19,2,58,ny
29,3,55,ny
19,3,51,ny
25,3,57,ny
24,4,90,ny
6,4,83,ny
8,4,60,ny
11,2,40,ny
14,3,25,ny
24,3,76,ny
29,4,70,ny
29,2,33,ny
20,4,50,ny
23,4,91,ny
25,4,78,ny
25,3,48,ny
9,1,10,ny
20,3,59,ny
23,3,50,ny
24,4,53,ny
23,3,50,ny
1,3,50,ny
17,5,92,ny
19,3,35,ny
19,4,85,ny
3,2,30,ny
26,3,43,ny
29,3,15,ny
12,1,10,ny
5,2,44,ny
10,1,7,ny
26,2,29,ny
28,1,1,ny
24,3,20,ny
18,3,40,ny
11,4,80,ny
14,3,38,ny
28,2,47,ny
25,3,50,ny
24,2,41,ny
20,4,98,ny
1,3,90,ny
14,3,28,ny
22,3,30,ny
21,1,10,ny
23,3,68,ny
24,3,40,ny
11,2,31,ny
23,2,1,ny
7,2,37,ny
15,1,10,ny
26,3,55,ny
22,2,40,ny
13,3,32,ny
29,5,86,ny
14,3,40,ny
14,4,90,ny
17,5,93,ny
24,3,34,ny
13,3,50,ny
18,3,60,ny
1,1,2,ny
25,5,96,ny
2,3,75,ny
5,3,41,ny
17,1,10,ny
14,2,15,ny
25,3,48,ny
3,3,48,ny
