congdist,ideo,party,self_p,state
3,3,0.5,60,oh
15,4,0.0,90,oh
9,3,1.0,27,oh
4,3,0.5,43,oh
2,2,0.5,21,oh
18,3,1.0,29,oh
8,3,1.0,32,oh
7,2,1.0,28,oh
13,5,0.0,95,oh
11,3,0.5,55,oh
10,3,0.5,40,oh
8,5,0.0,100,oh
8,4,0.0,86,oh
1,4,0.0,99,oh
7,2,0.5,21,oh
7,4,0.0,78,oh
8,3,0.0,58,oh
4,5,0.5,95,oh
13,3,0.5,53,oh
7,4,0.5,72,oh
6,2,0.5,25,oh
3,3,1.0,47,oh
2,2,1.0,15,oh
8,3,1.0,50,oh
15,4,0.0,50,oh
6,3,1.0,40,oh
1,4,0.0,85,oh
8,5,0.0,99,oh
7,2,1.0,10,oh
15,2,0.5,38,oh
12,1,1.0,1,oh
18,3,0.5,62,oh
18,4,0.0,84,oh
13,4,0.0,83,oh
9,4,0.0,82,oh
15,4,0.0,63,oh
6,5,0.0,92,oh
10,3,0.5,48,oh
17,2,1.0,40,oh
8,4,0.0,71,oh
12,3,0.5,63,oh
2,5,0.0,91,oh
9,3,0.0,70,oh
14,3,0.5,50,oh
16,4,0.5,86,oh
12,3,1.0,44,oh
7,2,1.0,26,oh
15,4,0.0,86,oh
4,2,1.0,3,oh
18,5,0.0,95,oh
13,4,0.0,88,oh
6,4,0.5,96,oh
16,2,1.0,85,oh
2,3,0.5,50,oh
5,4,0.5,67,oh
17,1,0.5,0,oh
9,4,0.0,94,oh
7,5,0.0,83,oh
14,2,1.0,17,oh
15,4,0.5,60,oh
2,4,0.0,80,oh
10,3,0.5,52,oh
7,3,1.0,35,oh
18,4,0.0,88,oh
11,3,0.5,46,oh
14,1,1.0,15,oh
10,4,0.0,74,oh
2,3,1.0,33,oh
14,2,1.0,27,oh
9,1,0.5,5,oh
15,3,0.5,41,oh
2,2,1.0,34,oh
10,5,0.0,98,oh
12,2,1.0,20,oh
8,4,0.5,53,oh
7,1,1.0,3,oh
1,4,0.0,72,oh
4,2,1.0,18,oh
15,5,0.0,85,oh
17,3,1.0,40,oh
18,4,0.0,85,oh
8,4,0.0,80,oh
2,5,0.0,100,oh
9,4,0.5,68,oh
13,5,0.0,90,oh
16,2,1.0,33,oh
15,2,0.5,0,oh
8,1,0.5,5,oh
14,3,1.0,13,oh
1,2,1.0,13,oh
4,4,0.5,85,oh
8,4,0.0,94,oh
5,2,1.0,30,oh
17,4,0.0,75,oh
17,2,1.0,10,oh
16,4,0.5,53,oh
12,5,0.0,80,oh
8,4,0.5,78,oh
6,3,0.5,45,oh
5,3,1.0,50,oh
11,3,0.0,60,oh
4,4,0.5,60,oh
13,3,0.5,50,oh
15,4,0.0,71,oh
15,4,0.0,63,oh
17,2,1.0,30,oh
5,5,0.0,89,oh
5,5,0.0,100,oh
4,5,0.0,86,oh
12,5,0.0,83,oh
3,5,0.0,100,oh
4,3,0.0,53,oh
15,2,0.5,62,oh
8,4,0.0,88,oh
7,5,0.0,84,oh
6,4,0.5,79,oh
17,3,1.0,30,oh
6,4,0.5,57,oh
17,3,0.5,49,oh
4,3,0.5,49,oh
1,4,0.5,97,oh
8,4,0.0,67,oh
2,3,0.5,50,oh
5,4,0.0,75,oh
1,3,0.5,63,oh
5,5,0.0,90,oh
5,1,1.0,21,oh
16,4,0.0,90,oh
3,2,1.0,7,oh
