congdist,ideo,self_p,state
11,2,25,tx
24,2,45,tx
26,3,25,tx
10,4,82,tx
13,4,68,tx
8,3,50,tx
17,3,26,tx
6,2,20,tx
19,4,45,tx
21,4,90,tx
3,5,98,tx
4,3,60,tx
20,3,47,tx
29,3,55,tx
17,4,75,tx
8,4,80,tx
16,3,40,tx
28,4,78,tx
14,3,75,tx
20,3,50,tx
24,2,45,tx
24,2,20,tx
11,3,31,tx
2,3,50,tx
21,3,70,tx
2,2,39,tx
5,4,75,tx
22,3,28,tx
22,5,100,tx
7,3,39,tx
16,5,89,tx
32,4,70,tx
26,4,85,tx
1,4,95,tx
13,2,30,tx
2,3,50,tx
14,3,25,tx
25,2,13,tx
6,4,85,tx
19,4,81,tx
30,4,83,tx
21,3,53,tx
32,2,6,tx
22,5,95,tx
7,4,75,tx
3,4,78,tx
3,3,49,tx
7,3,50,tx
26,3,50,tx
8,4,53,tx
15,5,75,tx
21,3,27,tx
6,4,58,tx
21,4,66,tx
8,4,75,tx
11,4,68,tx
17,4,100,tx
11,5,83,tx
9,4,71,tx
26,4,85,tx
13,5,99,tx
12,5,95,tx
24,4,44,tx
5,4,83,tx
32,1,15,tx
11,3,42,tx
14,5,100,tx
13,3,50,tx
24,2,25,tx
12,5,93,tx
6,3,61,tx
11,3,49,tx
19,3,33,tx
11,4,65,tx
4,4,97,tx
29,4,83,tx
28,4,96,tx
24,3,43,tx
24,3,28,tx
12,3,50,tx
4,4,94,tx
31,2,12,tx
26,5,93,tx
26,5,98,tx
25,3,69,tx
10,4,99,tx
12,5,98,tx
6,1,20,tx
3,4,80,tx
1,4,91,tx
32,3,21,tx
29,3,67,tx
31,3,39,tx
11,5,96,tx
26,4,88,tx
27,4,75,tx
20,2,75,tx
11,3,59,tx
17,5,99,tx
26,4,80,tx
11,3,35,tx
10,2,50,tx
22,1,10,tx
12,3,61,tx
31,2,28,tx
6,3,50,tx
31,4,50,tx
31,2,12,tx
18,3,66,tx
1,5,98,tx
22,1,48,tx
11,5,87,tx
11,4,90,tx
26,4,58,tx
3,4,59,tx
21,3,34,tx
30,4,76,tx
24,1,5,tx
30,3,18,tx
10,5,95,tx
10,3,60,tx
21,3,30,tx
5,4,87,tx
1,3,52,tx
10,3,50,tx
22,3,39,tx
7,4,50,tx
24,5,90,tx
19,5,68,tx
20,2,38,tx
25,3,24,tx
27,3,42,tx
12,4,87,tx
32,4,73,tx
32,1,25,tx
26,4,81,tx
18,3,42,tx
9,5,85,tx
3,5,94,tx
12,3,71,tx
13,3,1,tx
9,3,53,tx
18,2,29,tx
32,1,2,tx
1,4,70,tx
31,2,42,tx
19,5,74,tx
9,2,25,tx
2,4,80,tx
14,4,70,tx
26,4,83,tx
5,4,69,tx
5,4,51,tx
6,2,40,tx
22,1,5,tx
5,3,49,tx
2,5,75,tx
3,5,83,tx
7,3,65,tx
1,4,90,tx
2,3,37,tx
21,4,69,tx
23,4,80,tx
32,5,100,tx
22,2,50,tx
17,3,70,tx
18,3,48,tx
21,1,20,tx
15,4,72,tx
21,2,21,tx
24,5,99,tx
3,3,70,tx
23,1,1,tx
26,3,63,tx
32,4,90,tx
14,4,85,tx
23,4,75,tx
17,4,65,tx
23,2,41,tx
5,3,58,tx
32,3,45,tx
3,5,97,tx
15,4,77,tx
23,4,86,tx
24,4,88,tx
6,4,70,tx
10,2,18,tx
2,3,39,tx
5,2,33,tx
5,4,81,tx
4,3,51,tx
31,5,86,tx
4,5,86,tx
3,4,50,tx
25,2,16,tx
16,5,99,tx
26,4,80,tx
16,3,40,tx
25,2,24,tx
8,2,32,tx
23,4,90,tx
11,3,73,tx
20,4,75,tx
5,3,50,tx
22,2,40,tx
24,2,29,tx
11,3,50,tx
