,Unnamed: 0,cycle,election,Cand.ID,FEC.ID,NID,ICPSR,ICPSR2,bonica.rid,bonica.cid,Name,Party,State,seat,District,Incum.Chall,cfscore,cfscores.dyn,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,num.givers,num.givers.total,cand.gender,total.disbursements,total.pc.contribs,contribs.from.candidate,unitemized,non.party.ind.exp.for,non.party.ind.exp.against,ind.exp.for,ind.exp.against,comm.cost.for,comm.cost.against,party.coord.exp,party.ind.exp.against,total.receipts,total.indiv.contrib,total.pac.contribs,ran.primary,ran.general,p.elec.stat,s.elec.stat,r.elec.stat,gen.elec.stat,gen.elect.pct,winner,district.partisanship,mu.est80s,mu.est90s,mu.est00s,district.pres.vs,dist.pvs1984,dist.pvs1988,dist.pvs1992,dist.pvs1996,dist.pvs2000,dist.pvs2004,dist.pvs2008,dist.pvs2012,avg.donor.cfscore.in.cd,prop.in.dist.w.org,prop.in.state.w.org,candStatus,fecyear,cand.or.committee,Industry,Sector.Long,Catcode,Catname,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status,before.switch.ICPSR,after.switch.ICPSR,Party.orig
25754,441.128,2010,fd2010,H4TX04039,C00386532,N00026148,205272010,20527,cand950,,"GOHMERT, LOUIS B. MR. JR.",200,TX,federal:house,TX01,I,1.237442897,1.23943077,0.56099999,0.01,0.759,0.229,523,1976,M,877586.99,0,0,48056.32,,,,,,,,,793679.49,642531.99,149775,0,1,W,,,W,89,W,1.512266278,0.033632871,0.467657328,1.512266278,0.310000002,0.384576917,0.473324507,0.50360918,0.492410004,0.360191435,0.310000002,0.310000002,0.303,0.917611406,0.482671166,0.986041998,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
25755,442.115,2010,fd2010,H4TX02108,C00392670,N00026457,205282010,20528,cand951,,"POE, TED",200,TX,federal:house,TX02,I,0.950694861,0.876330326,0.598999977,0.202000007,0.616,0.737,438,2034,M,569845.82,2125,0,98907.62,,,,,,,,,876075.18,607163.01,252050,0,1,W,,,W,88,W,0.992095828,-0.157960042,0.363634139,0.992095828,0.400000006,0.413405508,0.500894904,0.545594096,0.50168997,0.378294945,0.370000005,0.400000006,0.374,0.62140801,0.157497429,0.902701099,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24454,443.129,2010,fd2010,H0TX03088,C00476044,N00031657,H0TX030882010,H0TX03088,cand39371,4116334966,"LINGENFELDER, JOHN JR",100,TX,federal:house,TX03,C,-1.463515234,-1.466716667,,,,,85,95,M,154857.18,0,128974.39,9914.43,,,,,,,,,157000.58,26291.19,1000,0,1,W,,,L,31,L,0.843818128,1.510203838,1.769772887,0.843818128,0.424242437,0.181990504,0.253108799,0.303665191,0.351699799,0.302181423,0.330000013,0.424242437,0.378,0.679534063,0.944517477,1,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
25823,443.13,2010,fd2010,H2TX03118,C00250720,N00008028,291432010,29143,cand1231,,"JOHNSON, SAMUEL ROBERT",200,TX,federal:house,TX03,I,1.042174632,1.126349903,0.616999984,0.207000002,0.724,0.46,361,1823,M,820491.21,0,0,79337.21,,,,,,,,,1110253.29,487617.9,608565.57,0,1,W,,,W,66,W,0.843818128,1.510203838,1.769772887,0.843818128,0.424242437,0.181990504,0.253108799,0.303665191,0.351699799,0.302181423,0.330000013,0.424242437,0.378,0.679534063,0.152455916,0.94090112,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
25925,444.127,2010,fd2010,H0TX04037,C00120683,N00005645,948282010,94828,cand159935,4109317359,"HALL, RALPH MOODY",200,TX,federal:house,TX04,I,0.918165592,0.949863694,0.442999989,0.119999997,0.583,0.339,199,1068,M,776141.98,0,0,18970,,,,,,,,,664578.95,252718.84,411751.76,0,1,W,,,W,73,W,1.596346498,0.58146584,0.93594116,1.596346498,0.303030312,0.307061285,0.389256299,0.408070982,0.385376006,0.278497607,0.300000012,0.303030312,0.293,0.658836538,0.15663019,0.904551456,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,14828,94828,200
24451,445.112,2010,fd2010,H0TX05091,C00471888,N00031581,H0TX050912010,H0TX05091,cand39392,,"BERRY, TOM",100,TX,federal:house,TX05,C,-0.751132429,-0.701914149,,,,,5,5,M,,,,,,,,,,,,,,,,1,0,,,,,,,1.276347518,-0.154530197,0.315514296,1.276347518,0.363636374,0.407419384,0.501416087,0.544341326,0.505758226,0.419237435,0.330000013,0.363636374,0.374,0.752728216,0,,N,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
25821,445.114,2010,fd2010,H2TX05121,C00370650,N00024922,203522010,20352,cand918,4098317497,"HENSARLING, THOMAS JEB",200,TX,federal:house,TX05,I,1.094709335,1.102803719,0.745000005,-0.239999995,0.907,0.217,719,2834,M,1804771.18,32.79,0,124426.3,,,,,,,,,1745499.68,1037622.46,689459.72,0,1,W,,,W,70,W,1.276347518,-0.154530197,0.315514296,1.276347518,0.363636374,0.407419384,0.501416087,0.544341326,0.505758226,0.419237435,0.330000013,0.363636374,0.374,0.752728216,0.071803097,0.860640329,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24450,446.141,2010,fd2010,H0TX06065,C00466425,N00031142,H0TX060652010,H0TX06065,cand39398,4199412081,"COZAD, DAVID EDWIN",100,TX,federal:house,TX06,C,-1.924712791,-1.836489737,,,,,158,158,M,24895.45,0,12400,8235.07,,,,,,,,,25145.07,12245.07,0,0,1,W,,,L,31,L,1.055114627,0.739714026,1.64390564,1.055114627,0.400000006,0.302296907,0.375606805,0.348146528,0.35326919,0.290390879,0.333333284,0.400000006,0.424,0.791556859,0.864498645,0.716981132,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
25753,446.142,2010,fd2010,H4TX06117,C00195065,N00005656,150852010,15085,cand670,3841645424,"BARTON, JOE LINUS",200,TX,federal:house,TX06,I,1.027429813,1.024316543,0.540000021,0.017999999,0.644,0.304,645,3862,M,2255364.08,0,0,55375.33,,,,,,,,,2377714.98,677495.2,1175517.27,0,1,W,,,W,65,W,1.055114627,0.739714026,1.64390564,1.055114627,0.400000006,0.302296907,0.375606805,0.348146528,0.35326919,0.290390879,0.333333284,0.400000006,0.424,0.791556859,0.037525844,0.600500618,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
25924,447.78,2010,fd2010,H0TX07055,C00343236,N00009738,201392010,20139,cand859,4104319951,"CULBERSON, JOHN A",200,TX,federal:house,TX07,I,1.061728159,1.082005746,0.532000005,0.328000009,0.483,0.826,277,1699,M,771544.01,32.78,0,37479,,,,,,,,,779425.22,433249,339320.52,0,1,W,,,W,81,W,0.941917896,1.84340477,2.209201097,0.941917896,0.414141417,0.169985294,0.225940093,0.276259989,0.298036814,0.271887302,0.353535295,0.414141417,0.404,0.397325747,0.323216842,0.897492789,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
