candname,cf_score,congdist,party
"GOHMERT, LOUIS B. MR. JR.",1.237442897,1,200
"POE, TED",0.9506948609999999,2,200
"DALEY, THOMAS JAMES",-1.0382554640000001,3,100
"JOHNSON, SAMUEL ROBERT",1.042174632,3,200
"MELANCON, GLENN",-1.478447387,4,100
"HALL, RALPH MOODY",0.918165592,4,200
"HENSARLING, THOMAS JEB",1.094709335,5,200
"OTTO, LUDWIG",-0.430147181,6,100
"BARTON, JOE LINUS",1.027429813,6,200
"SKELLY, MICHAEL PETER",-0.756485075,7,100
"CULBERSON, JOHN A",1.061728159,7,200
"HARGETT, KENT",-1.889268051,8,100
"BRADY, KEVIN",0.8796191390000001,8,200
"DOHERTY, LARRY JOE",-0.697552976,10,100
"MCCAUL, MICHAEL",1.078150772,10,200
"CONAWAY, K MICHAEL",1.2133153190000001,11,200
"SMITH, TRACEY NEAL",-0.853333514,12,100
"GRANGER, KAY",0.949480158,12,200
"WAUN, ROGER JAMES",-1.045409714,13,100
"THORNBERRY, WILLIAM MCCLELLAN ""MAC""",1.283999495,13,200
"SKLAR, SHANE",-0.457456249,14,100
"PAUL, RON",1.5696265269999998,14,200
"ZAMORA, EDWARD ROMERO JR",1.41218636,15,200
"HINOJOSA, RUBEN E",-0.237012158,15,100
"REYES, SILVESTRE",-0.006380456,16,100
"CURNOCK, ROBERT JOHN",1.3705436690000001,17,200
"EDWARDS, THOMAS CHESTER",-0.34342286200000005,17,100
"FAULK, JOHN M",1.265305601,18,200
"LEE, SHEILA JACKSON",-0.285584735,18,100
"FULLINGIM, DWIGHT BOWMAN MR.",-1.1505398629999999,19,100
"NEUGEBAUER, ROBERT RANDOLPH (RANDY)",1.1967728659999999,19,200
"GONZALEZ, CHARLES A",-0.12537578,20,100
"SMITH, LAMAR S",1.060858053,21,200
"OLSON, PETER G",1.101250462,22,200
"LAMPSON, NICK",-0.749995304,22,100
"LARSON, LYLE",1.109981136,23,200
"RODRIGUEZ, CIRO D",-0.48557633299999997,23,100
"LOVE, THOMAS PERRY",-1.270784435,24,100
"MARCHANT, KENNY EWELL",0.9258354999999999,24,200
"MOROVICH, GEORGE L.",1.5231651590000002,25,200
"DOGGETT, LLOYD",-0.7742493140000001,25,100
"LEACH, FRANCIS KENNETH JR",-0.54550971,26,100
"BURGESS, MICHAEL CLIFTON",1.059118823,26,200
"VADEN, WILLIAM R",0.8710794409999999,27,200
"ORTIZ, SOLOMON P",0.09572237900000001,27,100
"FISH, JAMES TAYLOR",3.922146645,28,200
"CUELLAR, ROBERTO ENRIQUE",0.272144715,28,100
"STORY, LESLIE ERIC",1.248027897,29,200
"GREEN, RAYMOND E. 'GENE'",-0.46750016,29,100
"JOHNSON, EDDIE BERNICE",-0.341880461,30,100
"RUIZ, BRIAN PATRICK",-0.8221715,31,100
"CARTER, JOHN RICE",1.021821672,31,200
"ROBERSON, ERIC NELSON",-1.007671483,32,100
"SESSIONS, PETER ANDERSON",1.063418079,32,200
