geoid,congdist
4530218,10
2010712,10
1210408,26
4530210,10
850054,3
294180,21
292088,20
4770205,10
294093,21
291098,20
294101,20
293098,23
294098,21
291051,23
291036,20
291005,20
292005,20
293140,20
292040,20
293040,21
291010,20
294036,21
292125,20
293125,21
291018,23
292018,20
293018,21
291041,23
292054,20
293016,23
292081,20
294081,21
291072,20
292049,20
293072,20
294072,23
292020,20
293020,21
294020,23
294092,20
292113,20
293100,21
294113,21
293097,21
294097,21
291035,20
291108,20
293131,21
294144,20
293129,23
293027,20
294152,20
292139,20
293175,21
294052,20
294124,23
292131,20
292080,20
294055,21
294109,20
291054,23
293054,20
294054,21
291097,20
293084,21
294084,21
294104,21
292134,20
292082,20
292039,20
291009,20
291012,20
291034,23
291060,23
293034,21
293128,21
294128,21
291017,20
292017,20
293004,20
293019,20
294019,23
292051,20
293123,20
292077,20
291022,23
293035,20
291014,20
292014,20
293014,20
294014,20
294053,20
292108,20
293108,21
294108,21
291053,23
291040,23
292053,20
294066,21
291071,20
292071,20
293048,21
291038,20
291107,23
292107,20
293107,20
294107,20
291079,20
292079,20
293079,21
294079,21
291033,20
293033,21
293112,21
293156,20
294156,20
294149,20
294111,20
292138,20
293138,21
294174,21
293159,20
291052,23
292052,20
293169,20
294169,20
292137,20
293137,21
291102,23
294102,20
292096,20
293083,21
294083,21
293141,20
291067,20
292067,20
293067,20
291032,20
292032,20
293032,20
292117,21
291003,20
292016,20
293003,20
294003,20
291047,23
292047,20
293047,21
291021,23
294034,21
294151,20
293051,23
294051,20
293136,20
291065,23
294065,20
291070,20
292070,20
294027,20
294070,21
292066,23
293106,23
292031,20
293031,20
291078,20
293078,21
294078,21
293116,20
291111,20
293124,21
294137,28
293120,21
293155,20
294155,20
291046,23
294160,21
292050,20
293050,21
294050,20
293135,20
293168,20
294168,20
293101,23
294142,20
292095,21
293082,21
292143,20
294143,20
293030,23
292115,20
293115,21
294115,21
293154,21
294154,20
292045,20
293045,23
291015,20
292015,20
293015,20
294002,20
293171,21
291020,23
292046,20
293046,21
294033,21
294096,20
291062,23
294062,23
291028,20
292028,20
293077,21
294077,21
293119,21
291064,23
292064,20
291059,23
294064,20
294059,20
291105,23
292105,20
293105,21
294105,21
291049,23
293010,20
293065,20
294153,21
291110,20
292136,20
291044,23
292140,20
293118,21
294118,21
294138,20
292141,20
293167,20
294141,20
293064,20
294172,21
293133,21
294133,23
292068,20
293068,21
294068,21
291063,23
292063,23
293063,21
291081,23
292094,21
293081,21
294094,21
291048,23
292048,20
294048,20
293152,20
292089,20
293089,21
294089,21
291086,20
292086,20
293086,21
291043,20
292043,20
293043,23
292119,20
292056,20
294056,21
292001,20
294057,21
293132,21
294184,20
294130,21
291045,23
292009,20
293009,20
294032,23
293161,21
293134,23
292062,20
293062,20
291050,23
292076,20
293076,23
294063,20
293162,21
291058,23
292058,20
293013,21
291104,20
292104,20
293117,21
291077,20
291042,23
292042,20
293042,21
292127,20
292111,20
293111,21
294166,20
293166,20
291016,23
292087,20
293066,20
291057,23
292057,20
293148,21
294171,21
291113,20
291061,23
292061,20
294061,20
294179,21
291089,23
291093,20
292012,20
293012,21
294080,20
291084,20
291076,20
291088,20
294088,20
293074,23
293130,21
294103,20
292084,20
291056,23
292013,20
293026,21
294013,20
294167,21
292044,20
293044,21
294031,21
294060,20
292103,20
293103,21
292145,20
293145,20
291039,20
292075,20
293039,21
291011,20
292011,20
293011,21
291083,20
292083,20
291103,20
292116,20
292074,20
294116,21
292106,20
292100,20
294100,21
291075,23
293147,20
294121,23
294164,21
293139,20
294076,20
291055,20
294165,21
292022,20
293149,23
294022,20
293170,20
294170,20
293075,21
293144,21
291066,23
293151,20
291087,20
292010,20
293087,21
291092,20
292092,20
293092,21
294074,23
291026,20
292026,20
294026,23
293058,23
294058,21
292133,20
292059,20
294025,23
291007,20
292007,20
294148,20
291025,23
292025,20
293025,21
294012,21
294182,20
293005,21
292030,20
294030,21
291074,23
293038,21
294038,21
292073,20
293073,23
292029,20
294029,21
291069,20
292069,20
293069,21
294069,21
292102,20
293102,21
294173,21
294016,20
291024,20
292024,20
293024,21
294024,23
294162,21
293174,23
292120,20
294146,20
293049,21
294049,20
294175,20
294120,21
293113,21
292128,20
293164,21
294177,23
294176,21
291004,20
292004,20
292142,20
293142,23
292027,20
291080,20
292072,20
293080,21
294086,23
293028,21
294028,23
293157,21
294157,20
291091,23
292091,20
293091,21
291023,20
292023,20
293023,20
294023,23
294161,20
291099,20
293126,20
293099,23
291095,20
293095,23
294095,20
292008,20
293008,20
291006,20
292006,20
293006,21
292003,20
291037,20
292037,20
293037,23
294037,21
294181,20
291019,23
292019,20
293055,21
294042,20
293071,21
291073,23
292060,20
293060,21
294073,23
292099,23
292114,20
294114,20
291068,20
293160,20
291101,23
292101,23
293127,23
291094,23
293094,23
291109,20
294145,20
291002,20
292002,20
293002,20
293163,23
294150,20
292041,20
293041,21
292126,20
293158,21
294158,20
293070,21
294099,20
292112,20
293017,23
291085,20
292085,20
294085,21
292021,20
294021,20
293096,23
292090,20
294090,20
292093,20
293093,23
130002,23
130013,28
130020,28
130009,28
130017,28
130012,23
130022,23
130005,23
130023,23
130016,28
130010,23
130024,23
130007,23
130011,15
130001,28
130015,28
130008,28
3870013,4
3870020,4
3870009,4
3870017,4
3870021,4
3870004,4
3870028,4
3870011,4
3870005,4
3870029,4
3870030,4
3870019,4
3870010,4
3870031,4
3870007,4
3870027,4
2190014,19
2190022,19
2190044,19
2190036,19
2190024,19
2190021,19
2190033,19
2270033,19
2270013,19
2270011,19
2270406,19
2270012,19
2270104,11
2270404,19
2270407,19
2270035,19
2270042,19
2270105,11
2270022,19
2270304,11
2270408,11
2270207,11
2270103,11
227207C,19
2270016,19
2270044,19
2270409,19
2270405,19
2270208,11
2270014,19
2270045,19
2270046,19
2270026,19
277001H,4
277004F,4
2774A6E,4
277001I,4
277004C,4
277002G,4
277003D,4
277001G,4
277002F,4
277003E,4
277002H,4
277004G,4
277003F,4
277003G,4
2773C7G,4
277001B,4
277004D,4
277002D,4
277004E,4
277004B,4
2450113,2
2450100,2
2450066,2
2450036,2
2450023,2
2450010,2
2450114,2
2450015,2
2450002,2
2450006,2
2450086,2
2450067,2
2450094,7
2450012,2
2450093,2
2450080,2
2450084,2
2450079,2
2450072,2
2450063,2
2450050,2
2450054,2
2450110,2
2450089,2
2450019,2
2450024,2
2450011,2
2450016,2
2450003,2
2450007,2
2450106,2
2450020,2
2450108,2
2450088,2
2450009,2
2450085,2
2450073,2
2450077,2
2450064,2
2450028,2
2450107,2
2450056,2
2450043,2
2450116,2
2450021,2
2450025,2
2450109,2
2450018,2
2450017,2
2450004,2
2450035,2
2450090,2
2450095,2
2450049,2
2450068,2
2450074,2
2450061,2
2450065,2
2450052,2
2450038,2
2450112,2
2450026,2
2450044,2
2450031,2
2450104,2
2450022,2
2450008,2
2450013,2
2450027,2
2450014,2
2450001,2
2450005,2
2450030,2
