geoid,congdist
10263,21
10232,21
10342,21
10341,21
10277,21
10346,21
10278,21
10251,21
10339,21
10340,21
10276,21
10292,21
10293,21
10290,21
10161,21
10327,21
10345,21
10338,21
10275,21
10250,21
10344,21
10337,21
10265,21
10343,21
10315,21
10228,21
10301,21
10304,21
10163,21
10329,21
10323,21
10162,21
10086,21
10267,21
10274,21
10266,21
10262,21
10153,21
10334,21
10156,21
10336,21
10311,21
10258,21
10326,21
10092,21
10159,21
10164,21
10166,21
10167,21
10325,21
10182,21
10174,21
10227,21
10335,21
10319,21
10261,21
10226,21
10299,21
10259,21
10268,21
10269,21
10230,21
10324,21
10189,21
10190,21
10331,21
10197,21
10194,21
10196,21
10191,21
10229,21
10231,21
10270,21
10291,21
10260,21
10296,21
10225,21
10271,21
10129,21
10154,21
10272,21
10289,21
10138,21
10126,21
10284,21
10155,21
10314,21
10139,21
10123,21
10128,21
10125,21
10120,21
10122,21
10054,21
10047,21
10137,21
10045,21
10136,21
10121,21
10044,21
10152,21
10157,21
10135,21
10124,21
10148,21
10134,21
10147,21
10151,21
10130,21
10118,21
10133,21
10064,21
10119,21
10150,21
10061,21
10144,21
10131,21
10063,21
10117,21
10060,21
10235,21
10236,21
10200,21
10217,21
10238,21
10219,21
10237,21
10201,21
10212,21
10220,21
10132,21
10052,21
10043,21
10140,21
10145,21
10062,21
10142,21
10059,21
10038,21
10057,21
10058,21
10049,21
10048,21
10241,21
10221,21
10198,21
10224,21
10199,21
10203,21
10114,21
10110,21
10111,21
10109,21
10056,21
10036,21
10113,21
10108,21
10050,21
10040,21
10055,21
10330,21
10101,21
10034,21
10149,21
10039,21
10116,21
10035,21
10104,21
10033,21
10107,21
10072,21
10240,21
10204,21
10205,21
10206,21
10222,21
10253,21
10214,21
10223,21
10037,21
10112,21
10105,21
10032,21
10095,21
10100,21
10099,21
10031,21
10115,21
10106,21
10028,21
10030,21
10103,21
10096,21
10068,21
10041,21
10077,21
10071,21
10097,21
10075,21
10254,21
10216,21
10255,21
10210,21
10208,21
10207,21
10211,21
10239,21
10067,21
10069,21
10051,21
10029,21
10070,21
10073,21
10076,21
10066,21
10065,21
10093,21
10042,21
10082,21
10002,21
10001,21
10084,21
10053,21
10083,21
10027,21
10015,21
10013,21
10283,21
10233,21
10256,21
10242,21
10282,21
10209,21
10287,21
10085,21
10004,21
10074,21
10003,21
10017,21
10019,21
10094,21
10016,21
10080,21
10018,21
10079,21
10012,21
10081,21
10011,21
10021,21
10307,21
10288,21
10247,21
10244,21
10305,21
10302,21
10243,21
10009,21
10020,21
10006,21
10005,21
10023,21
10026,21
10165,21
10007,21
10008,21
10010,21
10171,21
10024,21
10257,21
10246,21
10245,21
10310,21
10281,21
10280,21
10234,21
10279,21
10025,21
10014,21
10169,21
10173,21
10168,21
10170,21
10180,21
10179,21
10248,21
10286,21
10249,21
10273,21
10252,21
10285,21
10322,21
10177,21
10175,21
10181,21
10158,21
10176,21
10178,21
10186,21
10348,21
10349,21
10333,21
10332,21
10193,21
10347,21
10192,21
10313,21
10321,21
30024,26
30025,26
30014,26
30003,29
30011,29
30005,29
30028,29
30010,29
30038,29
30009,29
30002,29
30001,29
30020,29
30031,29
30021,29
30006,29
30007,29
30022,29
38889,29
30019,29
30008,29
30030,29
30037,29
30018,29
30040,29
30036,29
30032,29
30034,29
30035,29
30027,29
30039,29
30004,29
30012,29
30023,29
30013,29
30017,26
30026,26
30029,29
30016,29
30015,29
50481,17
50482,17
50479,17
50743,17
50518,17
50519,17
50736,17
50733,17
50734,17
50499,17
50500,17
50735,17
50714,17
50732,17
50716,17
50713,17
50712,17
50718,17
50650,7
50728,17
50111,15
50006,16
50577,7
50278,16
50130,16
51002,16
50124,16
50573,7
50003,16
50273,16
50139,16
50123,16
50110,16
50275,16
50339,16
50140,16
50132,16
51003,16
50276,16
50272,16
50133,16
50008,16
50097,7
50277,16
50134,16
50019,7
50014,16
50575,7
50501,17
50730,7
50727,17
50719,17
50523,17
50710,17
50715,17
50530,9
50711,17
50731,7
50525,17
50720,17
50709,17
50498,17
50754,7
50717,17
50721,17
50497,17
50466,17
50708,17
50607,7
50729,7
50726,17
50707,17
50143,16
50142,16
50589,7
50141,16
50574,7
50177,16
50009,16
50655,7
50109,16
50044,7
50583,7
50012,16
50010,16
50588,7
50572,7
50042,7
50098,7
50037,7
50101,15
50576,7
50107,16
50013,16
50279,16
50136,16
50108,16
50016,7
50487,17
50706,17
50528,17
50527,17
50496,17
50494,17
50533,17
50486,17
50485,17
50649,7
50705,17
50495,17
50751,7
50484,17
50723,17
50483,17
50534,17
50532,17
50432,17
50699,17
50433,17
50704,17
50465,17
50697,17
50436,17
50011,16
50033,7
50135,16
50022,7
50137,16
50144,16
50570,7
50756,16
50026,7
50567,7
50341,16
50023,7
50757,16
50145,16
50015,16
50090,16
50654,7
50340,16
50150,16
50102,16
50018,7
50571,7
50280,16
50342,16
50758,16
50587,7
50531,17
50464,17
50493,17
50463,17
50700,17
50676,7
50462,17
50437,17
50701,17
50675,17
50535,17
50438,17
50677,17
50459,17
50536,17
50491,17
50458,17
50702,17
50489,17
50488,17
50680,17
50543,17
50703,17
50492,17
50461,17
50457,17
50246,15
50456,17
50146,16
50281,16
50290,16
50759,16
50096,16
50147,16
50106,16
50568,7
50927,16
50755,16
50548,7
50017,7
50292,16
50148,16
50024,7
50028,7
50760,16
50103,16
50293,16
50149,16
50283,16
50294,16
50284,16
50282,16
50872,16
50563,7
50296,16
50045,7
50092,7
50460,17
50698,17
50608,7
50695,17
50490,17
50696,17
50537,17
50455,17
50673,17
50678,17
50679,17
50454,17
50694,17
50237,16
50439,16
50233,16
50671,17
50670,17
50425,17
50682,17
50210,16
50752,17
50253,17
50690,17
50217,17
50211,17
50093,16
50155,16
50105,16
50295,16
50285,16
50031,7
50761,16
50156,16
50154,16
50586,7
50055,16
50765,16
50349,16
50054,7
50286,16
50053,7
50841,16
50153,16
50025,7
50299,16
50289,16
50879,16
50298,16
50287,16
50052,7
50152,16
50569,7
50051,7
50327,16
50056,7
50453,17
50238,15
50430,17
50693,17
50692,17
50431,17
50664,7
50424,7
50241,16
50442,17
50681,17
50234,16
50216,17
50691,17
50451,17
50683,17
50429,17
50669,7
50232,16
50242,16
50214,17
50235,16
50215,17
50668,17
50423,17
50231,15
50426,16
50046,7
50158,16
50050,7
50873,16
50871,16
50047,7
50151,16
50766,16
50762,16
50159,16
50288,16
50048,7
50874,16
50104,16
50161,16
50300,16
50160,16
50157,16
50049,7
50301,16
50162,16
50767,16
50564,7
50164,16
50169,16
50585,7
50165,16
50168,16
50058,7
50892,16
50057,7
50686,7
50689,7
50428,17
50213,16
50427,16
50212,16
50249,16
50748,7
50422,17
50666,7
50243,16
50688,7
50667,7
50421,17
50224,16
50221,16
50684,17
50209,16
50601,7
50747,7
50251,16
50225,16
50222,16
50198,16
50227,16
50240,16
50230,16
50248,16
50220,16
50658,7
50746,7
50167,16
50163,16
50303,16
50565,7
50763,16
50064,7
50875,16
50560,7
50876,16
50764,16
50878,16
50653,7
50880,16
50304,16
50062,7
50333,16
50166,16
50170,16
50065,7
50870,7
50061,7
50334,16
50893,16
50060,7
50895,16
50319,16
50059,7
50320,16
50562,7
50449,7
50418,7
50417,7
50419,7
50450,7
50420,7
50749,7
50750,7
50204,16
50609,7
50674,7
50208,16
50197,16
50662,7
50444,16
50205,16
50440,7
50229,16
50226,16
50665,7
50597,7
50207,16
50187,16
50196,16
50656,7
50416,7
50415,7
50448,7
50203,16
50414,7
50171,16
50922,16
50305,16
50317,16
50308,16
50306,16
50066,7
50894,16
50877,16
50063,7
50309,16
50652,7
50067,7
50558,7
50881,16
50100,15
50172,16
50883,16
50068,7
50882,16
50866,7
50559,7
50899,16
50316,16
50318,16
50599,7
50413,7
50404,7
50403,7
50219,16
50401,7
50600,7
50657,7
50602,7
50598,7
50202,16
50195,16
50247,16
50206,16
50972,16
50651,7
50245,7
50200,16
50441,7
50228,16
50402,7
50412,7
50411,7
50400,7
50971,16
50194,16
50399,7
50199,16
50561,7
50768,16
50867,7
50869,7
50896,16
50069,7
50923,16
50307,16
50070,7
50173,16
50884,7
50897,16
50898,16
50769,16
50885,7
50330,16
50310,16
50886,16
50865,7
50924,16
50547,7
50860,7
50328,16
50073,7
50351,16
50174,16
50861,7
50770,16
50311,16
50862,7
50976,16
50218,16
50201,16
50973,16
50975,16
50193,16
50660,7
50397,7
50410,7
50409,7
50405,7
50392,7
50940,16
50941,16
50942,16
50974,16
50970,16
50398,7
50939,16
50661,7
50977,16
50978,16
50981,16
51004,16
50190,16
50969,16
50408,7
50407,7
50406,7
50596,7
50663,7
50326,16
50900,16
50864,7
50902,16
50072,7
50347,16
50868,7
50071,7
50312,16
50928,7
50903,16
50074,7
50321,16
50904,16
50350,16
50556,7
50329,16
50863,7
50887,7
50798,16
50771,16
50796,16
50313,16
50075,7
50901,16
50917,16
50916,16
50076,7
50859,7
50395,7
50659,7
50980,16
50396,7
50968,16
50606,7
50937,16
50982,16
50965,16
50979,16
50967,16
50191,16
50390,7
50966,16
50948,16
50986,16
50389,7
50188,16
50983,16
50443,7
50254,16
50984,16
50357,7
50964,16
50949,16
50315,16
50554,7
50888,7
50077,7
50793,16
50099,16
50322,16
50551,7
50890,7
50079,7
50801,16
50858,7
50083,7
50555,7
50323,16
50857,7
50905,16
50906,16
50907,16
50080,7
50085,7
50799,16
50772,15
50792,16
50909,16
50914,16
50324,16
50087,7
50938,16
50185,16
50388,7
50987,16
50180,16
50946,16
50962,16
50244,16
50192,16
50947,16
50387,7
50385,7
50383,7
50963,16
50382,7
50381,7
50255,16
50936,16
50189,16
50358,7
50595,7
50371,7
50186,16
50252,15
50960,16
50985,16
50988,16
50112,15
50549,7
50800,16
50566,7
50830,16
50546,7
50852,7
50081,7
50803,16
50791,16
50802,16
50084,7
50915,16
50853,7
50908,16
50790,16
50325,16
50855,7
50828,16
50335,16
50545,5
50086,7
50926,7
50788,16
50836,16
50550,7
50804,16
50829,16
50256,16
50932,16
50386,7
50935,16
50007,16
50958,16
50989,16
50961,16
50372,7
50943,16
50594,7
50259,16
50336,16
50990,16
50183,16
50377,7
50379,7
50945,16
50353,7
50378,7
50260,16
50933,16
50114,15
50184,16
50950,16
50959,16
50182,16
50955,16
50934,16
50337,16
50850,7
50851,7
50835,16
50088,7
50552,7
50911,16
50910,16
50089,7
50834,16
50846,7
50806,16
50921,16
50847,7
50553,5
50817,16
50826,16
50832,16
50825,16
50805,16
50913,16
50925,7
50827,16
50544,5
50912,16
50831,16
50181,16
50991,16
50370,7
50373,7
50593,7
50257,16
50992,16
50956,16
50376,7
50951,16
50931,16
50354,7
50993,16
50944,16
50957,16
50261,16
50581,7
50374,7
50128,16
50119,16
50369,7
50605,7
50264,16
50360,7
50268,16
50176,16
50021,7
50348,16
50267,16
50837,16
50783,16
50848,7
50818,16
50838,16
50773,15
50807,16
50833,16
50785,16
50822,16
50786,16
50816,16
50823,16
50815,16
50808,16
50821,16
50814,16
50809,16
50820,16
50819,16
50845,7
50824,16
50810,16
50812,16
50839,16
50842,16
50780,16
50262,16
50375,7
50994,16
50366,7
50127,16
50263,16
50361,7
50368,7
50121,16
50954,16
50120,16
50269,16
50592,7
50952,16
50582,7
50995,16
50258,16
50953,16
50126,16
50266,16
50122,16
50362,7
50996,16
50338,16
50367,7
50591,7
50998,16
50604,7
50363,7
50776,15
50811,16
50813,16
50781,16
50778,16
50777,15
50919,15
50920,15
50473,17
50474,17
50472,17
50745,17
50744,17
50471,17
50477,17
50475,17
50470,17
50741,17
50478,17
50740,17
50511,5
50516,5
50510,17
50512,17
50505,17
50509,17
50508,17
50513,17
50507,17
50506,17
50515,17
50517,17
50503,17
50502,17
50504,17
50480,17
50365,7
50580,7
50001,16
50999,16
50270,16
50997,16
50356,7
50355,7
50265,16
50129,16
50020,7
50002,16
50359,7
50579,7
50138,16
51000,16
50274,16
50125,16
51001,16
50364,7
50005,16
50590,7
50271,16
50603,7
50578,7
50004,16
50043,7
50131,16
50476,17
50742,17
50542,17
50469,17
50739,17
50738,17
50468,17
50452,17
50737,17
50540,17
50467,17
50239,17
50687,7
50394,7
70045,22
70118,22
70013,22
70145,22
70044,22
70043,22
70166,22
