,geoid,congdist
0,001-AAA,2
1,001-AAB,2
2,001-AAC,2
3,001-AAD,2
4,001-AAE,2
5,001-AAF,2
6,001-AAG,2
7,001-AAH,2
8,001-AAI,2
9,001-AAJ,2
10,001-AAK,2
11,001-AAL,2
12,001-AAM,2
13,001-AAN,2
14,001-AAO,2
15,001-AAP,2
16,001-AAQ,2
17,001-AAR,2
18,001-AAS,2
19,001-AAT,2
20,001-AAU,2
21,001-AAV,2
22,001-AAW,2
23,001-AAX,2
24,001-AAY,2
25,001-AAZ,2
26,001-ABA,2
27,001-ABB,2
28,001-ABC,2
29,001-ABD,2
30,001-ABE,2
31,001-ABF,2
32,001-ABG,2
33,001-ABH,2
34,001-ABI,2
35,002-AAA,4
36,002-AAC,4
37,002-AAD,4
38,002-AAE,4
39,002-AAG,4
40,002-AAH,4
41,002-AAJ,4
42,002-AAK,4
43,002-AAL,4
44,002-AAN,4
45,002-AAO,4
46,002-AAP,4
47,002-AAQ,4
48,002-AAR,4
49,002-AAS,4
50,002-AAT,4
51,002-AAV,4
52,002-AAW,4
53,002-AAX,4
54,002-AAY,4
55,002-ABB,4
56,002-ABC,4
57,002-ABE,4
58,002-ABF,4
59,002-ABH,4
60,002-ABI,4
61,002-ABJ,4
62,002-ABK,4
63,002-ABM,4
64,002-ABP,4
65,002-ABQ,4
66,002-ABR,4
67,002-ABT,4
68,002-ABU,4
69,002-ABW,4
70,002-ABX,4
71,002-ABZ,4
72,002-ACA,4
73,002-ACB,4
74,002-ACC,4
75,002-ACD,4
76,002-ACE,4
77,002-ACG,4
78,002-ACH,4
79,002-ACI,4
80,002-ACM,4
81,002-ACN,4
82,002-ACO,4
83,002-ACP,4
84,002-ACQ,4
85,002-ACT,4
86,002-ACU,4
87,002-ACW,4
88,002-ACX,4
89,002-ACY,4
90,002-ACZ,4
91,002-ADA,4
92,002-ADB,4
93,002-ADC,4
94,002-ADD,4
95,002-ADE,4
96,002-ADF,4
97,002-ADG,4
98,002-ADI,4
99,002-ADJ,4
100,002-ADK,4
101,002-ADL,4
102,002-ADO,4
103,002-ADP,4
104,002-ADQ,4
105,002-ADR,4
106,002-ADS,4
107,002-ADT,4
108,002-ADU,4
109,002-ADW,4
110,002-ADX,4
111,002-ADY,4
112,002-ADZ,4
113,002-AEA,4
114,002-AEB,4
115,002-AEC,4
116,002-AED,4
117,002-AEE,4
118,002-AEF,4
119,002-AEG,4
120,002-AEI,4
121,002-AEJ,4
122,002-AEK,4
123,002-AEN,4
124,002-AEO,4
125,002-AEP,4
126,002-AEQ,4
127,002-AER,4
128,002-AES,4
129,002-AET,4
130,002-AEU,4
131,002-AEV,4
132,002-AEW,4
133,002-AEX,4
134,002-AEY,4
135,002-AEZ,4
136,002-AFA,4
137,002-AFB,4
138,002-AFC,4
139,002-AFE,4
140,002-AFF,4
141,002-AFG,4
142,002-AFH,4
143,002-AFI,4
144,002-AFJ,4
145,002-AFK,4
146,002-AFL,4
147,002-AFM,4
148,002-AFN,4
149,002-AFO,4
150,002-AFP,4
151,002-AFQ,4
152,002-AFR,4
153,002-AFS,4
154,002-AFT,4
155,002-AFU,4
156,002-AFV,4
157,002-AFW,4
158,002-AFX,4
159,002-AFY,4
160,002-AFZ,4
161,002-AGA,4
162,002-AGB,4
163,002-AGC,4
164,002-AGD,4
165,002-AGE,4
166,002-AGF,4
167,002-AGH,4
168,002-AGI,4
169,002-AGK,4
170,002-AGL,4
171,002-AGM,4
172,002-AGN,4
173,002-AGO,4
174,003-AAA,16
175,003-AAB,16
176,003-AAC,16
177,003-AAD,16
178,003-AAE,16
179,003-AAF,16
180,003-AAG,16
181,003-AAH,16
182,003-AAI,16
183,003-AAJ,16
184,003-AAK,16
185,003-AAL,16
186,003-AAM,16
187,003-AAN,16
188,003-AAQ,16
189,003-AAR,16
190,003-AAS,16
191,003-AAT,16
192,003-AAU,16
193,003-AAV,16
194,003-AAW,16
195,003-AAZ,16
196,003-ABA,16
197,003-ABB,16
198,003-ABC,16
199,003-ABD,16
200,003-ABF,5
201,003-ABG,5
202,003-ABH,5
203,003-ABI,16
204,003-ABJ,16
205,003-ABK,16
206,003-ABN,16
207,003-ABO,16
208,003-ABP,16
209,003-ABQ,16
210,003-ABS,5
211,003-ABT,5
212,003-ABU,5
213,003-ABV,16
214,003-ABY,16
215,003-ABZ,16
216,003-ACA,16
217,003-ACB,16
218,003-ACC,16
219,003-ACD,16
220,003-ACE,16
221,003-ACF,16
222,003-ACG,16
223,003-ACH,16
224,003-ACI,5
225,003-ACJ,5
226,003-ACK,5
227,003-ACL,16
228,003-ACM,16
229,003-ACN,5
230,003-ACO,5
231,003-ACP,5
232,003-ACQ,5
233,003-ACR,16
234,003-ACS,16
235,003-ACT,16
236,003-ACU,16
237,003-ACV,16
238,003-ACW,16
239,004-AAA,14
240,004-AAB,14
241,004-AAC,14
242,004-AAD,14
243,004-AAE,14
244,004-AAF,14
245,004-AAG,14
246,004-AAH,14
247,004-AAI,14
248,004-AAJ,14
249,004-AAK,14
250,004-AAL,14
251,004-AAM,14
252,004-AAN,14
253,004-AAO,14
254,004-AAP,14
255,004-AAQ,14
256,004-AAR,14
257,004-AAS,14
258,004-AAT,14
259,004-AAU,14
