,candname,cf_score,congdist,first_last_name,party
23241,"DRIEHAUS, STEVEN LEO",-1.00091530164,1,STEVEN LEO DRIEHAUS,100
23242,"CHABOT, STEVEN J",1.09102999772,1,STEVEN J CHABOT,200
22813,"WULSIN, VICTORIA",-1.27367018368,2,VICTORIA WULSIN,100
23365,"SCHMIDT, JEANNETTE H",0.972166203838,2,JEANNETTE H SCHMIDT,200
22964,"MITAKIDES, LOUELLA JANE",-1.0426310373,3,LOUELLA JANE MITAKIDES,100
23581,"TURNER, MICHAEL R",0.95064054199,3,MICHAEL R TURNER,200
22289,"CARROLL, MIKE",-1.26368789731,4,MIKE CARROLL,100
23364,"JORDAN, JAMES D",1.16617992128,4,JAMES D JORDAN,200
22287,"MAYS, GEORGE F",-1.26218990302,5,GEORGE F MAYS,100
23240,"LATTA, ROBERT EDWARD",1.00037703976,5,ROBERT EDWARD LATTA,200
23363,"WILSON, CHARLES A JR",-0.481053626762,6,CHARLES A JR WILSON,100
22282,"NEUHARDT, SHAREN SWARTZ",-0.918430961161,7,SHAREN SWARTZ NEUHARDT,100
23238,"AUSTRIA, STEVE C",0.896020582665,7,STEVE C AUSTRIA,200
22281,"VON STEIN, NICHOLAS ADAM",-0.924158553653,8,NICHOLAS ADAM VON STEIN,100
23680,"BOEHNER, JOHN ANDREW",0.945359623002,8,JOHN ANDREW BOEHNER,200
23580,"KAPTUR, MARCY",-0.587755282825,9,MARCY KAPTUR,100
23209,"KUCINICH, DENNIS J",-1.51048461779,10,DENNIS J KUCINICH,100
22277,"TRAKAS, JAMES PETER HONORABLE",0.628619631967,10,JAMES PETER HONORABLE TRAKAS,200
23236,"FUDGE, MARCIA L",-0.763169628615,11,MARCIA L FUDGE,100
22274,"ROBINSON, DAVID W",-1.18397919631,12,DAVID W ROBINSON,100
23679,"TIBERI, PATRICK J",0.761395132356,12,PATRICK J TIBERI,200
23362,"SUTTON, BETTY S MS.",-1.15848781071,13,BETTY S MS. SUTTON,100
22273,"POTTER, DAVID S",1.02974304199,13,DAVID S POTTER,200
22272,"O'NEILL, WILLIAM M",-1.1312557814,14,WILLIAM M O'NEILL,100
23488,"LATOURETTE, STEVEN C",0.495298920282,14,STEVEN C LATOURETTE,200
23361,"KILROY, MARY JO",-1.3302487648,15,MARY JO KILROY,100
22271,"STIVERS, STEVE",0.94031253207,15,STEVE STIVERS,200
23235,"BOCCIERI, JOHN A",-0.848088340056,16,JOHN A BOCCIERI,100
22268,"SCHURING, KIRK",1.03477901009,16,KIRK SCHURING,200
23578,"RYAN, TIMOTHY J",-0.528508096016,17,TIMOTHY J RYAN,100
23360,"SPACE, ZACHARY T",-0.82386435839,18,ZACHARY T SPACE,100
22264,"DAILEY, FRED L.",1.16376516079,18,FRED L. DAILEY,200
