,congdist,geoid
0,2,001-AAA
1,2,001-AAA
2,2,001-AAB
3,2,001-AAB
4,2,001-AAC
5,2,001-AAC
6,2,001-AAD
7,2,001-AAD
8,2,001-AAF
9,2,001-AAF
10,2,001-AAE
11,2,001-AAE
12,2,001-AAG
13,2,001-AAG
14,2,001-AAH
15,2,001-AAH
16,2,001-AAI
17,2,001-AAI
18,2,001-AAK
19,2,001-AAK
20,2,001-AAL
21,2,001-AAL
22,2,001-AAM
23,2,001-AAM
24,2,001-AAJ
25,2,001-AAJ
26,2,001-AAP
27,2,001-AAP
28,2,001-AAQ
29,2,001-AAQ
30,2,001-AAN
31,2,001-AAN
32,2,001-AAO
33,2,001-AAO
34,2,001-AAR
35,2,001-AAR
36,2,001-AAS
37,2,001-AAS
38,2,001-AAU
39,2,001-AAU
40,2,001-AAT
41,2,001-AAT
42,2,001-AAV
43,2,001-AAV
44,2,001-AAW
45,2,001-AAW
46,2,001-AAX
47,2,001-AAX
48,2,001-ABA
49,2,001-ABA
50,2,001-ABB
51,2,001-ABB
52,2,001-ABC
53,2,001-ABC
54,2,001-ABD
55,2,001-ABD
56,2,001-AAY
57,2,001-AAY
58,2,001-AAZ
59,2,001-AAZ
60,2,001-ABE
61,2,001-ABE
62,2,001-ABF
63,2,001-ABF
64,2,001-ABH
65,2,001-ABH
66,2,001-ABG
67,2,001-ABG
68,2,001-ABI
69,2,001-ABI
70,4,002-AAA
71,4,002-AAA
72,4,002-AAC
73,4,002-AAC
74,4,002-AAE
75,4,002-AAE
76,4,002-AAG
77,4,002-AAG
78,4,002-AAH
79,4,002-AAH
80,4,002-AAJ
81,4,002-AAJ
82,4,002-AAK
83,4,002-AAK
84,4,002-AAL
85,4,002-AAL
86,4,002-AAN
87,4,002-AAN
88,4,002-AAO
89,4,002-AAO
90,4,002-AAP
91,4,002-AAP
92,4,002-AAQ
93,4,002-AAQ
94,4,002-AAR
95,4,002-AAR
96,4,002-AAS
97,4,002-AAS
98,4,002-AAT
99,4,002-AAT
100,4,002-AAV
101,4,002-AAV
102,4,002-AAW
103,4,002-AAW
104,4,002-AAX
105,4,002-AAX
106,4,002-AAY
107,4,002-AAY
108,4,002-ABE
109,4,002-ABE
110,4,002-ABF
111,4,002-ABF
112,4,002-ABH
113,4,002-ABH
114,4,002-ABI
115,4,002-ABI
116,4,002-ABJ
117,4,002-ABJ
118,4,002-ABK
119,4,002-ABK
120,4,002-ABM
121,4,002-ABM
122,4,002-ABP
123,4,002-ABP
124,4,002-ABQ
125,4,002-ABQ
126,4,002-ABR
127,4,002-ABR
128,4,002-ABT
129,4,002-ABT
130,4,002-ABW
131,4,002-ABW
132,4,002-ABX
133,4,002-ABX
134,4,002-ABZ
135,4,002-ABZ
136,4,002-ACA
137,4,002-ACA
138,4,002-ACB
139,4,002-ACB
140,4,002-ACC
141,4,002-ACC
142,4,002-ACD
143,4,002-ACD
144,4,002-ACE
145,4,002-ACE
146,4,002-ACG
147,4,002-ACG
148,4,002-ACH
149,4,002-ACH
150,4,002-ACI
151,4,002-ACI
152,4,002-ACM
153,4,002-ACM
154,4,002-ACN
155,4,002-ACN
156,4,002-ACO
157,4,002-ACO
158,4,002-ACT
159,4,002-ACT
160,4,002-ACU
161,4,002-ACU
162,4,002-ADQ
163,4,002-ADQ
164,4,002-ADR
165,4,002-ADR
166,4,002-ACW
167,4,002-ACW
168,4,002-ACK
169,4,002-ACK
170,4,002-ACY
171,4,002-ACY
172,4,002-ACZ
173,4,002-ACZ
174,4,002-ADA
175,4,002-ADA
176,4,002-ADB
177,4,002-ADB
178,4,002-ADC
179,4,002-ADC
180,4,002-ADD
181,4,002-ADD
182,4,002-ADE
183,4,002-ADE
184,4,002-ADF
185,4,002-ADF
186,4,002-ADG
187,4,002-ADG
188,4,002-ADI
189,4,002-ADI
190,4,002-ADJ
191,4,002-ADJ
192,4,002-ADK
193,4,002-ADK
194,4,002-ADL
195,4,002-ADL
196,4,002-ADO
197,4,002-ADO
198,4,002-ADP
199,4,002-ADP
200,4,002-ADU
201,4,002-ADU
202,4,002-ADT
203,4,002-ADT
204,4,002-ADW
205,4,002-ADW
206,4,002-ADY
207,4,002-ADY
208,4,002-ADZ
209,4,002-ADZ
210,4,002-AEA
211,4,002-AEA
212,4,002-AEB
213,4,002-AEB
214,4,002-AEC
215,4,002-AEC
216,4,002-AED
217,4,002-AED
218,4,002-AEE
219,4,002-AEE
220,4,002-AEF
221,4,002-AEF
222,4,002-AEG
223,4,002-AEG
224,4,002-AEI
225,4,002-AEI
226,4,002-AEJ
227,4,002-AEJ
228,4,002-AEK
229,4,002-AEK
230,4,002-AEO
231,4,002-AEO
232,4,002-AEN
233,4,002-AEN
234,4,002-AEQ
235,4,002-AEQ
236,4,002-AES
237,4,002-AES
238,4,002-AET
239,4,002-AET
240,4,002-AEW
241,4,002-AEW
242,4,002-AEX
243,4,002-AEX
244,4,002-AEY
245,4,002-AEY
246,4,002-AFB
247,4,002-AFB
248,4,002-AFC
249,4,002-AFC
250,4,002-AEZ
251,4,002-AEZ
252,4,002-AFA
253,4,002-AFA
254,4,002-AFE
255,4,002-AFE
256,4,002-AFI
257,4,002-AFI
258,4,002-AFJ
259,4,002-AFJ
260,4,002-AFK
261,4,002-AFK
262,4,002-AFL
263,4,002-AFL
264,4,002-AFM
265,4,002-AFM
