,Unnamed: 0,cycle,election,Cand.ID,FEC.ID,NID,ICPSR,ICPSR2,bonica.rid,bonica.cid,Name,Party,State,seat,District,Incum.Chall,cfscore,cfscores.dyn,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,num.givers,num.givers.total,cand.gender,total.disbursements,total.pc.contribs,contribs.from.candidate,unitemized,non.party.ind.exp.for,non.party.ind.exp.against,ind.exp.for,ind.exp.against,comm.cost.for,comm.cost.against,party.coord.exp,party.ind.exp.against,total.receipts,total.indiv.contrib,total.pac.contribs,ran.primary,ran.general,p.elec.stat,s.elec.stat,r.elec.stat,gen.elec.stat,gen.elect.pct,winner,district.partisanship,mu.est80s,mu.est90s,mu.est00s,district.pres.vs,dist.pvs1984,dist.pvs1988,dist.pvs1992,dist.pvs1996,dist.pvs2000,dist.pvs2004,dist.pvs2008,dist.pvs2012,avg.donor.cfscore.in.cd,prop.in.dist.w.org,prop.in.state.w.org,candStatus,fecyear,cand.or.committee,Industry,Sector.Long,Catcode,Catname,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status,before.switch.ICPSR,after.switch.ICPSR,Party.orig
23475,441.123,2008,fd2008,H4TX04039,C00386532,N00026148,205272008,20527,cand950,,"GOHMERT, LOUIS B. MR. JR.",200,TX,federal:house,TX01,I,1.237442897,1.230550579,0.56099999,0.01,0.631,0.435,525,1976,M,834732,0,0,54275,,,,,,,,,888649,704791,181862,0,1,W, , ,W,87,W,1.512266278,0.033632871,0.467657328,1.512266278,0.310000002,0.384576917,0.473324507,0.50360918,0.492410004,0.360191435,0.310000002,0.310000002,0.303,0.789784964,0.568933808,0.990347065,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
23476,442.111,2008,fd2008,H4TX02108,C00392670,N00026457,205282008,20528,cand951,,"POE, TED",200,TX,federal:house,TX02,I,0.950694861,0.91834153,0.598999977,0.202000007,0.667,0.639,408,2034,M,391238,10000,0,50878.76,,,,,,,,,800692,504461,257250,0,1,W, , ,W,88,W,0.992095828,-0.157960042,0.363634139,0.992095828,0.400000006,0.413405508,0.500894904,0.545594096,0.50168997,0.378294945,0.370000005,0.400000006,0.374,0.430426632,0.152290666,0.889538567,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22203,443.121,2008,fd2008,H8TX03032,C00441188,N00029582,H8TX030322008,H8TX03032,cand56566,,"DALEY, THOMAS JAMES",100,TX,federal:house,TX03,C,-1.038255464,-0.973498792,,,,,14,15,M,73653,0,45000,11399,,,,,,,,,67614,19699,2250,0,1,W, , ,L,38,L,0.843818128,1.510203838,1.769772887,0.843818128,0.424242437,0.181990504,0.253108799,0.303665191,0.351699799,0.302181423,0.330000013,0.424242437,0.378,0.387041922,0.139586411,0.674157303,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23560,443.125,2008,fd2008,H2TX03118,C00250720,N00008028,291432008,29143,cand1231,,"JOHNSON, SAMUEL ROBERT",200,TX,federal:house,TX03,I,1.042174632,1.083095045,0.616999984,0.207000002,0.812,0.164,432,1823,M,1569813,0,0,73688.89,,,,,,,,,1213670,509566,633146,0,1,W, , ,W,59,W,0.843818128,1.510203838,1.769772887,0.843818128,0.424242437,0.181990504,0.253108799,0.303665191,0.351699799,0.302181423,0.330000013,0.424242437,0.378,0.387041922,0.174682403,0.932824223,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22789,444.11,2008,fd2008,H6TX04083,C00416172,N00027787,H6TX040832008,H6TX04083,cand52729,4643044189,"MELANCON, GLENN",100,TX,federal:house,TX04,C,-1.478447387,-1.372516593,,,,,50,105,M,83243,6010,1078,11780.94,,,,,,,,,83756,62319,6566,1,0,, , ,L,0,L,1.596346498,0.58146584,0.93594116,1.596346498,0.303030312,0.307061285,0.389256299,0.408070982,0.385376006,0.278497607,0.300000012,0.303030312,0.293,0.502696814,0.627184595,0.883309356,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23673,444.114,2008,fd2008,H0TX04037,C00120683,N00005645,948282008,94828,cand159935,4109317359,"HALL, RALPH MOODY",200,TX,federal:house,TX04,I,0.918165592,1.017527689,0.442999989,0.119999997,0.578,0.351,491,1068,M,939249,0,10000,36768,,,,,,,,,1096578,536275,514847,0,1,W, , ,W,68,W,1.596346498,0.58146584,0.93594116,1.596346498,0.303030312,0.307061285,0.389256299,0.408070982,0.385376006,0.278497607,0.300000012,0.303030312,0.293,0.502696814,0.211861302,0.895657956,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,14828,94828,200
23558,445.108,2008,fd2008,H2TX05121,C00370650,N00024922,203522008,20352,cand918,4098317497,"HENSARLING, THOMAS JEB",200,TX,federal:house,TX05,I,1.094709335,1.13873863,0.745000005,-0.239999995,0.938,0.06,592,2834,M,1005714,667,0,79250.27,,,,,,,,,1598453,934590,574876,0,1,W, , ,W,83,W,1.276347518,-0.154530197,0.315514296,1.276347518,0.363636374,0.407419384,0.501416087,0.544341326,0.505758226,0.419237435,0.330000013,0.363636374,0.374,0.413463945,0.087804363,0.897257688,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22198,446.135,2008,fd2008,H8TX06142,C00452433,N00029751,H8TX061422008,H8TX06142,cand56597,,"OTTO, LUDWIG",100,TX,federal:house,TX06,C,-0.430147181,-0.389837601,,,,,4,4,M,29634,2000,0,1164,,,,,,,,,29568,2984,0,0,1,W, , ,L,35,L,1.055114627,0.739714026,1.64390564,1.055114627,0.400000006,0.302296907,0.375606805,0.348146528,0.35326919,0.290390879,0.333333284,0.400000006,0.424,0.496607407,0,,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23474,446.138,2008,fd2008,H4TX06117,C00195065,N00005656,150852008,15085,cand670,3841645424,"BARTON, JOE LINUS",200,TX,federal:house,TX06,I,1.027429813,1.022931821,0.540000021,0.017999999,0.691,0.233,506,3862,M,1934766,0,0,32540.5,,,,,,,,,1517025,668869,1340597,0,1,W, , ,W,62,W,1.055114627,0.739714026,1.64390564,1.055114627,0.400000006,0.302296907,0.375606805,0.348146528,0.35326919,0.290390879,0.333333284,0.400000006,0.424,0.496607407,0.049424116,0.718638228,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22197,447.67,2008,fd2008,H8TX07074,C00442731,N00029586,H8TX070742008,H8TX07074,cand56605,4704113840,"SKELLY, MICHAEL PETER",100,TX,federal:house,TX07,C,-0.756485075,-0.707118236,,,,,1238,1238,M,3080655,0,950000,166494.12,,,,,,,,,3083681,1990655,89572,0,1,W, , ,L,42,L,0.941917896,1.84340477,2.209201097,0.941917896,0.414141417,0.169985294,0.225940093,0.276259989,0.298036814,0.271887302,0.353535295,0.414141417,0.404,0.245767556,0.293591339,0.660458468,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23672,447.72,2008,fd2008,H0TX07055,C00343236,N00009738,201392008,20139,cand859,4104319951,"CULBERSON, JOHN A",200,TX,federal:house,TX07,I,1.061728159,1.088282095,0.532000005,0.328000009,0.654,0.464,861,1699,M,1757226,5950,0,113470.5,,,,,,,,,1747989,1166491,565235,0,1,W, , ,W,55,W,0.941917896,1.84340477,2.209201097,0.941917896,0.414141417,0.169985294,0.225940093,0.276259989,0.298036814,0.271887302,0.353535295,0.414141417,0.404,0.245767556,0.555821632,0.967531235,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22196,448.86,2008,fd2008,H8TX08056,C00452094,N00029754,H8TX080562008,H8TX08056,cand56609,,"HARGETT, KENT",100,TX,federal:house,TX08,C,-1.889268051,-1.808461688,,,,,2,2,M,2928,500,0,250,,,,,,,,,1025,1275,0,0,1,W, , ,L,24,L,1.807612777,0.176848039,1.968782306,1.807612777,0.25999999,0.396350086,0.453342587,0.291343898,0.284759283,0.224319071,0.272727311,0.25999999,0.263,0.573438767,1,1,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23343,448.87,2008,fd2008,H6TX08100,C00311043,N00005883,297602008,29760,cand1485,3193119465,"BRADY, KEVIN",200,TX,federal:house,TX08,I,0.879619139,0.710232732,0.537999988,0.064000003,0.646,0.344,101,1170,M,610288,0,0,2125,,,,,,,,,621911,79875,537718,0,1,W, , ,W,72,W,1.807612777,0.176848039,1.968782306,1.807612777,0.25999999,0.396350086,0.453342587,0.291343898,0.284759283,0.224319071,0.272727311,0.25999999,0.263,0.573438767,0.036968021,0.750479106,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
