candname,cf_score,congdist,party
"GOHMERT, LOUIS B. MR. JR.",1.237442897,1,200
"BINDERIM, GARY",-0.920687169,2,100
"POE, TED",0.9506948609999999,2,200
"DODD, DANIEL A",-1.1769514890000001,3,100
"JOHNSON, SAMUEL ROBERT",1.042174632,3,200
"MELANCON, GLENN",-1.478447387,4,100
"HALL, RALPH MOODY",0.918165592,4,200
"THOMPSON, CHARLES EDWARD",-1.1494226220000001,5,100
"HENSARLING, THOMAS JEB",1.094709335,5,200
"HARRIS, DAVID T",-1.133453718,6,100
"BARTON, JOE LINUS",1.027429813,6,200
"HENLEY, JAMES BERK",-1.210398528,7,100
"CULBERSON, JOHN A",1.061728159,7,200
"BRADY, KEVIN",0.8796191390000001,8,200
"ANKRUM, TED",-1.326762057,10,100
"MCCAUL, MICHAEL",1.078150772,10,200
"CONAWAY, K MICHAEL",1.2133153190000001,11,200
"MORRIS, JOHN R",-0.923792258,12,100
"GRANGER, KAY",0.949480158,12,200
"WAUN, ROGER J.",-1.045409714,13,100
"THORNBERRY, WILLIAM MCCLELLAN ""MAC""",1.283999495,13,200
"SKLAR, SHANE",-0.457456249,14,100
"PAUL, RON",1.5696265269999998,14,200
"HARING, PAUL BYRNE",1.076665148,15,200
"HINOJOSA, RUBEN E",-0.237012158,15,100
"REYES, SILVESTRE",-0.006380456,16,100
"TAYLOR, NICHOLAS VANCAMPEN",1.089286503,17,200
"EDWARDS, THOMAS CHESTER",-0.34342286200000005,17,100
"LEE, SHEILA JACKSON",-0.285584735,18,100
"RICKETTS, ROBERT CARLTON",-1.312312937,19,100
"NEUGEBAUER, ROBERT RANDOLPH (RANDY)",1.1967728659999999,19,200
"GONZALEZ, CHARLES A",-0.12537578,20,100
"COURAGE, JOHN KENNETH",-1.144448895,21,100
"SMITH, LAMAR S",1.060858053,21,200
"SEKULA GIBBS, SHELLEY MD",1.173768498,22,200
"LAMPSON, NICK",-0.749995304,22,100
"RODRIGUEZ, CIRO D",-0.48557633299999997,23,100
"BONILLA, HENRY",0.949550577,23,200
"PAGE, GARY R.",-0.9365065770000001,24,100
"MARCHANT, KENNY EWELL",0.9258354999999999,24,200
"ROSTIG, GRANT",1.335988627,25,200
"DOGGETT, LLOYD",-0.7742493140000001,25,100
"BARNWELL, TIMOTHY ROBERT",-0.92464729,26,100
"BURGESS, MICHAEL CLIFTON",1.059118823,26,200
"VADEN, WILLIAM R",0.8710794409999999,27,200
"ORTIZ, SOLOMON P",0.09572237900000001,27,100
"ENRIQUEZ, FRANK",-0.624308263,28,100
"CUELLAR, ROBERTO ENRIQUE",0.272144715,28,100
"STORY, LESLIE ERIC",1.248027897,29,200
"GREEN, RAYMOND E. 'GENE'",-0.46750016,29,100
"AURBACH, WILSON",1.082547491,30,200
"JOHNSON, EDDIE BERNICE",-0.341880461,30,100
"HARRELL, MARY BETH",-1.120647111,31,100
"CARTER, JOHN RICE",1.021821672,31,200
"PRYOR, WILL",-0.791518422,32,100
"SESSIONS, PETER ANDERSON",1.063418079,32,200
