candname,cf_score,district_num,geoid,num_votes,party
"ANKRUM, TED",-1.326762057,10,4530218,765.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530218,402.0,200
"ANKRUM, TED",-1.326762057,10,2010712,297.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010712,310.0,200
"ANKRUM, TED",-1.326762057,10,4530210,,100
"MCCAUL, MICHAEL",1.078150772,10,4530210,,200
"ANKRUM, TED",-1.326762057,10,4770205,217.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770205,752.0,200
"ANKRUM, TED",-1.326762057,10,4770124,2.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770124,11.0,200
"ANKRUM, TED",-1.326762057,10,4770414,41.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770414,304.0,200
"ANKRUM, TED",-1.326762057,10,4770410,159.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770410,396.0,200
"ANKRUM, TED",-1.326762057,10,4770320,40.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770320,80.0,200
"ANKRUM, TED",-1.326762057,10,4770423,12.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770423,30.0,200
"ANKRUM, TED",-1.326762057,10,4770126,4.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770126,1.0,200
"ANKRUM, TED",-1.326762057,10,4770101,172.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770101,177.0,200
"ANKRUM, TED",-1.326762057,10,4770311,102.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770311,356.0,200
"ANKRUM, TED",-1.326762057,10,4770413,38.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770413,243.0,200
"ANKRUM, TED",-1.326762057,10,4770121,19.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770121,31.0,200
"ANKRUM, TED",-1.326762057,10,4770319,7.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770319,7.0,200
"ANKRUM, TED",-1.326762057,10,4770327,166.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770327,626.0,200
"ANKRUM, TED",-1.326762057,10,4770122,14.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770122,3.0,200
"ANKRUM, TED",-1.326762057,10,4770425,46.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770425,92.0,200
"ANKRUM, TED",-1.326762057,10,4770312,103.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770312,351.0,200
"ANKRUM, TED",-1.326762057,10,4770307,126.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770307,340.0,200
"ANKRUM, TED",-1.326762057,10,4770418,23.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770418,34.0,200
"ANKRUM, TED",-1.326762057,10,41003A,160.0,100
"MCCAUL, MICHAEL",1.078150772,10,41003A,92.0,200
"ANKRUM, TED",-1.326762057,10,4530209,506.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530209,640.0,200
"ANKRUM, TED",-1.326762057,10,4530112,437.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530112,223.0,200
"ANKRUM, TED",-1.326762057,10,212016,,100
"MCCAUL, MICHAEL",1.078150772,10,212016,,200
"ANKRUM, TED",-1.326762057,10,212007,,100
"MCCAUL, MICHAEL",1.078150772,10,212007,,200
"ANKRUM, TED",-1.326762057,10,212003,,100
"MCCAUL, MICHAEL",1.078150772,10,212003,,200
"ANKRUM, TED",-1.326762057,10,212018,309.0,100
"MCCAUL, MICHAEL",1.078150772,10,212018,387.0,200
"ANKRUM, TED",-1.326762057,10,212011,209.0,100
"MCCAUL, MICHAEL",1.078150772,10,212011,314.0,200
"ANKRUM, TED",-1.326762057,10,2010878,148.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010878,549.0,200
"ANKRUM, TED",-1.326762057,10,2010126,119.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010126,795.0,200
"ANKRUM, TED",-1.326762057,10,2010552,270.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010552,1252.0,200
"ANKRUM, TED",-1.326762057,10,2010119,293.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010119,1195.0,200
"ANKRUM, TED",-1.326762057,10,2010521,413.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010521,603.0,200
"ANKRUM, TED",-1.326762057,10,2010529,217.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010529,1024.0,200
"ANKRUM, TED",-1.326762057,10,2010114,153.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010114,679.0,200
"ANKRUM, TED",-1.326762057,10,2010720,243.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010720,856.0,200
"ANKRUM, TED",-1.326762057,10,2010522,351.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010522,1000.0,200
"ANKRUM, TED",-1.326762057,10,2010768,330.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010768,1197.0,200
"ANKRUM, TED",-1.326762057,10,2010623,283.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010623,849.0,200
"ANKRUM, TED",-1.326762057,10,2010688,286.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010688,845.0,200
"ANKRUM, TED",-1.326762057,10,2010509,311.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010509,704.0,200
"ANKRUM, TED",-1.326762057,10,2010305,293.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010305,292.0,200
"ANKRUM, TED",-1.326762057,10,2010624,4.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010624,14.0,200
"ANKRUM, TED",-1.326762057,10,2010648,336.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010648,777.0,200
"ANKRUM, TED",-1.326762057,10,2010485,310.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010485,977.0,200
"ANKRUM, TED",-1.326762057,10,2010631,219.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010631,860.0,200
"ANKRUM, TED",-1.326762057,10,2010618,403.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010618,545.0,200
"ANKRUM, TED",-1.326762057,10,2010575,4.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010575,14.0,200
"ANKRUM, TED",-1.326762057,10,2010127,101.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010127,298.0,200
"ANKRUM, TED",-1.326762057,10,2010783,18.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010783,48.0,200
"ANKRUM, TED",-1.326762057,10,2010734,324.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010734,889.0,200
"ANKRUM, TED",-1.326762057,10,2010726,138.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010726,704.0,200
"ANKRUM, TED",-1.326762057,10,2010111,230.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010111,847.0,200
"ANKRUM, TED",-1.326762057,10,2010300,361.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010300,1229.0,200
"ANKRUM, TED",-1.326762057,10,2010547,246.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010547,585.0,200
"ANKRUM, TED",-1.326762057,10,2010112,266.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010112,668.0,200
"ANKRUM, TED",-1.326762057,10,2010121,52.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010121,121.0,200
"ANKRUM, TED",-1.326762057,10,2010619,424.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010619,1282.0,200
"ANKRUM, TED",-1.326762057,10,2010879,341.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010879,484.0,200
"ANKRUM, TED",-1.326762057,10,2010617,467.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010617,528.0,200
"ANKRUM, TED",-1.326762057,10,2010049,221.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010049,516.0,200
"ANKRUM, TED",-1.326762057,10,2010828,149.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010828,570.0,200
"ANKRUM, TED",-1.326762057,10,2010124,264.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010124,1048.0,200
"ANKRUM, TED",-1.326762057,10,2010603,321.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010603,616.0,200
"ANKRUM, TED",-1.326762057,10,2010813,489.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010813,623.0,200
"ANKRUM, TED",-1.326762057,10,2010370,381.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010370,1173.0,200
"ANKRUM, TED",-1.326762057,10,2010173,157.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010173,599.0,200
"ANKRUM, TED",-1.326762057,10,2010690,245.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010690,812.0,200
"ANKRUM, TED",-1.326762057,10,2010452,165.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010452,670.0,200
"ANKRUM, TED",-1.326762057,10,2010877,190.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010877,188.0,200
"ANKRUM, TED",-1.326762057,10,2010149,292.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010149,383.0,200
"ANKRUM, TED",-1.326762057,10,510412,32.0,100
"MCCAUL, MICHAEL",1.078150772,10,510412,13.0,200
"ANKRUM, TED",-1.326762057,10,510202,46.0,100
"MCCAUL, MICHAEL",1.078150772,10,510202,14.0,200
"ANKRUM, TED",-1.326762057,10,510410,230.0,100
"MCCAUL, MICHAEL",1.078150772,10,510410,258.0,200
"ANKRUM, TED",-1.326762057,10,510301,220.0,100
"MCCAUL, MICHAEL",1.078150772,10,510301,357.0,200
"ANKRUM, TED",-1.326762057,10,510113,114.0,100
"MCCAUL, MICHAEL",1.078150772,10,510113,205.0,200
"ANKRUM, TED",-1.326762057,10,510204,50.0,100
"MCCAUL, MICHAEL",1.078150772,10,510204,134.0,200
"ANKRUM, TED",-1.326762057,10,510308,76.0,100
"MCCAUL, MICHAEL",1.078150772,10,510308,75.0,200
"ANKRUM, TED",-1.326762057,10,510114,247.0,100
"MCCAUL, MICHAEL",1.078150772,10,510114,309.0,200
"ANKRUM, TED",-1.326762057,10,510203,99.0,100
"MCCAUL, MICHAEL",1.078150772,10,510203,77.0,200
"ANKRUM, TED",-1.326762057,10,510406,201.0,100
"MCCAUL, MICHAEL",1.078150772,10,510406,176.0,200
"ANKRUM, TED",-1.326762057,10,510305,98.0,100
"MCCAUL, MICHAEL",1.078150772,10,510305,98.0,200
"ANKRUM, TED",-1.326762057,10,510309,124.0,100
"MCCAUL, MICHAEL",1.078150772,10,510309,154.0,200
"ANKRUM, TED",-1.326762057,10,510207,126.0,100
"MCCAUL, MICHAEL",1.078150772,10,510207,56.0,200
"ANKRUM, TED",-1.326762057,10,890304,,100
"MCCAUL, MICHAEL",1.078150772,10,890304,,200
"ANKRUM, TED",-1.326762057,10,890302,,100
"MCCAUL, MICHAEL",1.078150772,10,890302,,200
"ANKRUM, TED",-1.326762057,10,890303,,100
"MCCAUL, MICHAEL",1.078150772,10,890303,,200
"ANKRUM, TED",-1.326762057,10,4530136,,100
"MCCAUL, MICHAEL",1.078150772,10,4530136,,200
"ANKRUM, TED",-1.326762057,10,4530225,297.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530225,267.0,200
"ANKRUM, TED",-1.326762057,10,4530279,131.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530279,53.0,200
"ANKRUM, TED",-1.326762057,10,4530107,174.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530107,290.0,200
"ANKRUM, TED",-1.326762057,10,4530208,,100
"MCCAUL, MICHAEL",1.078150772,10,4530208,,200
"ANKRUM, TED",-1.326762057,10,4530111,477.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530111,318.0,200
"ANKRUM, TED",-1.326762057,10,4530200,618.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530200,562.0,200
"ANKRUM, TED",-1.326762057,10,4530243,602.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530243,310.0,200
"ANKRUM, TED",-1.326762057,10,4530259,798.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530259,533.0,200
"ANKRUM, TED",-1.326762057,10,4530251,,100
"MCCAUL, MICHAEL",1.078150772,10,4530251,,200
"ANKRUM, TED",-1.326762057,10,4530229,478.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530229,315.0,200
"ANKRUM, TED",-1.326762057,10,4530256,,100
"MCCAUL, MICHAEL",1.078150772,10,4530256,,200
"ANKRUM, TED",-1.326762057,10,4530345,833.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530345,1543.0,200
"ANKRUM, TED",-1.326762057,10,4530137,81.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530137,31.0,200
"ANKRUM, TED",-1.326762057,10,4530226,407.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530226,572.0,200
"ANKRUM, TED",-1.326762057,10,4530231,908.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530231,718.0,200
"ANKRUM, TED",-1.326762057,10,4530263,681.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530263,420.0,200
"ANKRUM, TED",-1.326762057,10,4530213,365.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530213,309.0,200
"ANKRUM, TED",-1.326762057,10,4530206,495.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530206,597.0,200
"ANKRUM, TED",-1.326762057,10,4530163,480.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530163,293.0,200
"ANKRUM, TED",-1.326762057,10,4530252,734.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530252,378.0,200
"ANKRUM, TED",-1.326762057,10,4530108,402.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530108,167.0,200
"ANKRUM, TED",-1.326762057,10,4530317,,100
"MCCAUL, MICHAEL",1.078150772,10,4530317,,200
"ANKRUM, TED",-1.326762057,10,4530105,712.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530105,357.0,200
"ANKRUM, TED",-1.326762057,10,4530248,692.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530248,302.0,200
"ANKRUM, TED",-1.326762057,10,4530113,728.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530113,491.0,200
"ANKRUM, TED",-1.326762057,10,4530240,,100
